year,month,avg_temperature,max_temperature,min_temperature,avg_precipitation_sum,avg_rain_sum,avg_snowfall_sum,avg_precipitation_hours,max_wind_speed,max_wind_gust,avg_rain_days,weather_locations,country,region,source_id,feature_scope,feature_semantics,aggregation_rule
2021,1,17.036559139784945,31.3,3.6,36.56666666666667,36.55555555555556,0.007777777777777778,62.888888888888886,56.5,110.9,7.333333333333333,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2021,2,17.377380952380953,32.2,4.2,9.122222222222222,9.122222222222222,0.0,24.77777777777778,59.8,115.6,4.444444444444445,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2021,3,16.445519713261646,32.5,2.5,20.5,20.5,0.0,45.55555555555556,66.3,126.7,6.444444444444445,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2021,4,14.469259259259259,29.3,1.8,41.55555555555556,41.55555555555556,0.0,66.22222222222223,52.5,101.2,8.11111111111111,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2021,5,12.699283154121865,24.6,-1.5,61.133333333333326,61.099999999999994,0.031111111111111114,94.77777777777777,46.4,90.7,10.0,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2021,6,10.924814814814814,22.0,-3.5,78.8111111111111,77.3,1.0577777777777777,104.88888888888889,59.0,110.2,11.666666666666666,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2021,7,9.966666666666667,23.3,-2.1,41.65555555555555,39.544444444444444,1.4855555555555555,85.33333333333333,45.5,92.9,9.777777777777779,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2021,8,10.293548387096774,23.8,-1.5,80.30000000000001,78.46666666666667,1.291111111111111,129.33333333333334,58.6,119.9,12.777777777777779,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2021,9,11.349629629629629,28.6,-1.3,44.13333333333333,43.266666666666666,0.6066666666666667,92.33333333333333,54.0,107.6,11.555555555555555,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
2021,10,12.538351254480286,31.0,0.8,27.577777777777776,25.900000000000002,1.1744444444444446,75.77777777777777,55.3,104.4,12.11111111111111,9,Chile,national,cl_weather_open_meteo_daily,national_weather_context,national_weather_context,location_average_not_sum
