date,year,month,conaset_available_asof_year,conaset_available_expected5y_collisions,conaset_available_expected3y_collisions,conaset_available_last_collisions,conaset_available_expected5y_fatalities,conaset_available_expected3y_fatalities,conaset_available_last_fatalities,conaset_available_expected5y_total_injuries,conaset_available_expected3y_total_injuries,conaset_available_last_total_injuries,conaset_available_expected5y_serious_injuries,conaset_available_expected3y_serious_injuries,conaset_available_last_serious_injuries,conaset_available_expected5y_weekend_collision_share,conaset_available_expected3y_weekend_collision_share,conaset_available_last_weekend_collision_share,conaset_available_expected5y_weekend_fatality_share,conaset_available_expected3y_weekend_fatality_share,conaset_available_last_weekend_fatality_share,conaset_available_expected5y_night_collision_share,conaset_available_expected3y_night_collision_share,conaset_available_last_night_collision_share,conaset_available_expected5y_night_fatality_share,conaset_available_expected3y_night_fatality_share,conaset_available_last_night_fatality_share,conaset_available_expected5y_peak_collision_share,conaset_available_expected3y_peak_collision_share,conaset_available_last_peak_collision_share,conaset_available_expected5y_injuries_per_collision,conaset_available_expected3y_injuries_per_collision,conaset_available_last_injuries_per_collision,conaset_available_expected5y_fatalities_per_collision,conaset_available_expected3y_fatalities_per_collision,conaset_available_last_fatalities_per_collision,conaset_available_collision_yoy
2021-01-01,2021,1,2019,7317.2,7440.0,7165.0,153.2,158.0,163.0,5393.0,5217.333333333333,4830.0,757.8,741.6666666666666,682.0,0.27128889894737945,0.2603178722700364,0.25359385903698534,0.35923519741230525,0.304493597288777,0.3496932515337423,0.17280811574611238,0.1732814124466208,0.17739009071877182,0.34257444562268713,0.33115510706884294,0.3006134969325153,0.3912502358013385,0.393599851741448,0.39148639218422887,0.7382637544161064,0.7007549551931257,0.6741102581995813,0.02097908633099867,0.02126486645854692,0.02274947662247034,-0.05137031643055734
2021-02-01,2021,2,2019,6772.2,6845.666666666667,6804.0,132.4,127.66666666666667,130.0,5246.0,5018.666666666667,4861.0,715.6,700.3333333333334,655.0,0.28769737717549626,0.29663863195558987,0.29056437389770723,0.34919293926045614,0.35235860247113054,0.33076923076923076,0.17075610041170242,0.17215643354134438,0.16901822457378013,0.34209115313016286,0.34268278608113567,0.27692307692307694,0.38487596828702364,0.3838176750796798,0.3837448559670782,0.7764975434341932,0.7331827230572833,0.7144326866549089,0.019636628589218125,0.018657650021945797,0.019106407995296885,0.006955749593014593
2021-03-01,2021,3,2019,7850.2,8159.333333333333,8199.0,130.0,125.0,131.0,5330.8,5307.666666666667,5234.0,748.2,733.6666666666666,727.0,0.27500128712794714,0.29103608586251967,0.29491401390413463,0.3793204821116666,0.40007182139046216,0.4961832061068702,0.13881370931884876,0.14284182305899817,0.141602634467618,0.31282947004567296,0.3170312457249172,0.3282442748091603,0.43194970315916076,0.4280640106637814,0.43456519087693624,0.6816548894079426,0.6504922770908631,0.6383705329918282,0.01665777834218954,0.015317612990717294,0.01597755823880961,0.0
2021-04-01,2021,4,2019,7526.4,7702.666666666667,7687.0,135.4,134.66666666666666,130.0,5006.6,4988.666666666667,4959.0,680.6,679.6666666666666,635.0,0.26262592268643803,0.2677730372946957,0.24170677767659685,0.370562480344529,0.34652928060856447,0.35384615384615387,0.13434780862022327,0.13522487693075078,0.13048003122154286,0.27437669240486273,0.27177137298620674,0.24615384615384617,0.4345894574371977,0.43510187308152276,0.44998048653570966,0.6677634236579266,0.647637756669955,0.6451151294393132,0.018103922108490544,0.017482763849862692,0.016911669051645636,-0.00103963612735547
2021-05-01,2021,5,2019,7873.2,8206.0,8184.0,135.0,130.33333333333334,132.0,5178.0,5182.333333333333,5093.0,711.2,719.3333333333334,675.0,0.27188899542290257,0.25839389390337725,0.23607038123167157,0.35018658342969367,0.32923725443410484,0.3484848484848485,0.14101840461555828,0.13603552002602204,0.13196480938416422,0.23206028715379107,0.2103515469657202,0.2196969696969697,0.4403909683571611,0.44540320052661714,0.4378054740957967,0.6601942905008491,0.6314687529668036,0.6223118279569892,0.01734290210912001,0.0158863949029126,0.016129032258064516,0.006765899864682012
2021-06-01,2021,6,2019,7697.2,7992.333333333333,7955.0,142.4,137.0,152.0,4966.4,4973.666666666667,4963.0,667.8,648.6666666666666,632.0,0.28906949151892225,0.31163842825715937,0.31313639220615963,0.35665684481473947,0.3752088554720134,0.375,0.14090947480496757,0.14398598004110783,0.15776241357636706,0.26064983603683295,0.2886382623224728,0.34210526315789475,0.4441231289546854,0.44428932156926865,0.43456945317410434,0.6475289009964195,0.6226327119362548,0.6238843494657448,0.018686890877634182,0.017173740808465728,0.019107479572595853,0.0332510715677361
2021-07-01,2021,7,2020,6925.8,6318.0,4177.0,128.6,124.33333333333333,91.0,4411.6,3953.6666666666665,2355.0,620.4,556.3333333333334,380.0,0.28222842431762485,0.26003302894560604,0.23078764663634188,0.3621824790790308,0.34803961470628136,0.3626373626373626,0.1365285009119047,0.1257696722680049,0.09456547761551352,0.28859171297594943,0.27218636742446267,0.23076923076923078,0.42509644209298453,0.4275850738085977,0.42566435240603306,0.6302278215009712,0.616719590659068,0.5638017716064161,0.01888270099226202,0.019979034853919126,0.021785970792434762,-0.44366009589770916
2021-08-01,2021,8,2020,7040.4,6561.333333333333,4834.0,120.6,118.33333333333333,104.0,4349.4,4035.3333333333335,3131.0,592.8,557.0,506.0,0.269142037755933,0.27282513000445757,0.29871741828713283,0.37168270757020755,0.3911725681725682,0.4326923076923077,0.12909299940578417,0.12813051612574825,0.10239966901117087,0.2486801434676435,0.23200162800162802,0.15384615384615385,0.43907767471295217,0.4340695310136902,0.4164253206454282,0.6201144325380579,0.6189717829385081,0.6477037649979314,0.017467283467309275,0.01844369520622789,0.0215142738932561,-0.3623532515499275
2021-09-01,2021,9,2020,6724.0,6317.0,4977.0,120.4,106.66666666666667,103.0,4249.2,3822.3333333333335,3220.0,581.0,527.3333333333334,526.0,0.2958849093624475,0.27938624653516814,0.2332730560578662,0.3642283910388603,0.35420753217686346,0.2524271844660194,0.14508637971724425,0.1459183997286713,0.11854530841872614,0.3112251249656442,0.3395399416540874,0.2912621359223301,0.4096327198247435,0.4039292733368078,0.40687160940325495,0.6322853365875438,0.6092777206096575,0.6469760900140648,0.01806245933794946,0.017272388607503082,0.020695197910387785,-0.3144628099173554
2021-10-01,2021,10,2020,6949.2,6517.666666666667,5774.0,117.0,114.66666666666667,129.0,4492.6,4075.3333333333335,3764.0,612.4,563.6666666666666,556.0,0.2663736547636154,0.24510211697377496,0.25909248354693454,0.3525190743554093,0.3459868958216476,0.43410852713178294,0.13823820174362084,0.13380247011393545,0.1319709040526498,0.3008032230698126,0.28587137674580015,0.26356589147286824,0.4174927969164687,0.41461512064795575,0.400415656390717,0.6458238044782357,0.626694092978131,0.6518877727745064,0.017075050405729805,0.017869339292711076,0.022341531001039142,-0.14039005508411495
2021-11-01,2021,11,2020,7125.2,6708.0,6015.0,112.4,115.66666666666667,121.0,4719.4,4365.333333333333,4045.0,644.6,606.3333333333334,613.0,0.2731326549376375,0.2743036793519516,0.28445552784704903,0.3461522009911242,0.3405876951331497,0.3884297520661157,0.1473827543897031,0.1467319010343011,0.1486284289276808,0.35001286298285417,0.33485731440276895,0.2975206611570248,0.41363500255931507,0.41280720257544684,0.40448877805486283,0.6627996008086334,0.6518571191346031,0.6724854530340815,0.016015595991339185,0.017388272600595805,0.020116375727348295,-0.14523234332812274
2021-12-01,2021,12,2020,7796.8,7588.666666666667,6987.0,138.0,139.0,136.0,5171.4,5032.666666666667,4418.0,722.4,703.3333333333334,654.0,0.2878155259995788,0.27473180277202547,0.21668813510805782,0.41441489706795254,0.4187883358471594,0.36764705882352944,0.15681926988146974,0.15392436442029736,0.1353943037068842,0.31162636600968774,0.31000804424333833,0.22058823529411764,0.3971042877225007,0.396128424592209,0.40861600114498353,0.6623577157973397,0.6620091376938516,0.6323171604408186,0.017827579495567035,0.018361143196084017,0.019464720194647202,-0.11399949277200105
2022-01-01,2022,1,2020,7436.8,7348.0,7326.0,155.2,159.66666666666666,158.0,5319.4,5119.0,5158.0,757.6,719.6666666666666,716.0,0.2658450024511643,0.24921686669389273,0.2493857493857494,0.3342608559822676,0.34863192772643736,0.34810126582278483,0.17502325651654446,0.17408044639482603,0.17472017472017473,0.34698771965621433,0.3575884652222308,0.37341772151898733,0.3900956166919037,0.390861194306658,0.38602238602238603,0.7148085675245343,0.6963404452537537,0.704067704067704,0.02089296626865982,0.021745112795146848,0.021567021567021567,0.022470341939986094
2022-02-01,2022,2,2020,6936.0,6778.666666666667,6775.0,138.6,141.66666666666666,166.0,5199.2,4964.666666666667,4937.0,727.6,704.3333333333334,720.0,0.29920804705721193,0.3039527759685896,0.3287084870848708,0.37567218959512816,0.40210597907431755,0.4879518072289157,0.1718292840783947,0.17019063550033645,0.17343173431734318,0.34419735571829313,0.3408366920275017,0.37349397590361444,0.38159237073647456,0.3817417683687778,0.37092250922509223,0.7485992139875005,0.7324406744097326,0.7287084870848709,0.02000375380513113,0.020899855242163135,0.024501845018450184,-0.004262198706643128
2022-03-01,2022,3,2020,7674.2,7445.666666666667,5939.0,134.4,136.33333333333334,154.0,5057.6,4821.0,3779.0,720.6,683.6666666666666,593.0,0.27492640943201113,0.27485753628504966,0.26755346017848125,0.36611701890820336,0.40862160494024563,0.35064935064935066,0.13859486416532638,0.1415793940294308,0.13470281192119885,0.2994095566257595,0.30299805669172813,0.2662337662337662,0.4257693992773014,0.42066653261828363,0.4071392490318235,0.6580134791975081,0.6464627166588138,0.636302407812763,0.017972301185405583,0.019010548372822605,0.02593029129483078,-0.27564337114282234
2022-04-01,2022,4,2020,6985.6,6379.666666666667,3757.0,127.4,121.66666666666667,97.0,4521.2,4078.6666666666665,2365.0,627.4,565.3333333333334,387.0,0.2635529648435596,0.2475102657427438,0.2422145328719723,0.36243545799521754,0.36141203783516646,0.36082474226804123,0.1260193175781497,0.11761050538676393,0.08836837902581847,0.2501762258535797,0.24294076857949562,0.18556701030927836,0.4294416153674783,0.4273284236734365,0.40484429065743943,0.6453255759167016,0.63764777576211,0.6294916156507852,0.019026786952599115,0.020221288144593643,0.025818472185254192,-0.5112527644074412
2022-05-01,2022,5,2020,7334.8,6804.666666666667,4101.0,125.6,124.33333333333333,109.0,4675.8,4214.666666666667,2436.0,665.0,615.3333333333334,412.0,0.2730796153264258,0.26496105521942076,0.3069982930992441,0.34648157284394915,0.3658141043462145,0.3853211009174312,0.12935499319683696,0.12303820552834661,0.09875640087783467,0.22262721258310184,0.20630618107682328,0.24770642201834864,0.4367937228457759,0.4278360936751975,0.4011216776396001,0.6333446493570708,0.6151806594767354,0.5940014630577908,0.018065715404344485,0.01964869171084034,0.0265788831992197,-0.49890029325513197
2022-06-01,2022,6,2020,7189.4,6566.333333333333,4045.0,135.2,134.0,117.0,4538.2,4114.333333333333,2495.0,609.2,544.6666666666666,367.0,0.28654101104334895,0.2803399197134874,0.24252163164400495,0.3566568448147395,0.35139933166248954,0.3333333333333333,0.1335034096839941,0.13024365896965415,0.09814585908529048,0.24556687977740607,0.26910224278645334,0.1794871794871795,0.44284561159605157,0.4396665114107537,0.43164400494437577,0.6300648310782601,0.6250644046146568,0.6168108776266996,0.019824179911843792,0.0217690162058299,0.028924598269468478,-0.4915147705845381
2022-07-01,2022,7,2021,6847.0,6362.333333333333,7402.0,133.2,138.33333333333334,177.0,4358.4,3997.0,4752.0,613.4,577.6666666666666,704.0,0.27353793685490174,0.251968445968419,0.2696568495001351,0.35753797104469226,0.3562840173009665,0.3728813559322034,0.13167559066300022,0.11879211682834905,0.12901918400432316,0.2711142751595286,0.26486265953578303,0.23728813559322035,0.4265126347129814,0.42897090180641206,0.4269116455012159,0.6298928684167231,0.6187655167067502,0.6419886517157525,0.01971444823958428,0.021759180831799535,0.023912456092947853,0.7720852286329902
2022-08-01,2022,8,2021,7013.2,6618.0,7439.0,126.6,129.33333333333334,158.0,4286.2,4067.3333333333335,4570.0,603.8,614.3333333333334,726.0,0.2778850561093882,0.28832807515182335,0.2878075010082,0.36212970124109367,0.37777172429071165,0.3037974683544304,0.13101881274259577,0.1277785545920814,0.13926603038042748,0.23390561815118777,0.19973158580753517,0.21518987341772153,0.4313153872058038,0.42621635538965,0.4191423578437962,0.6139771088177842,0.6185849310048036,0.6143298830487969,0.018335628293457435,0.01979139546931075,0.021239413899717705,0.5388911874224245
