date,mop_available_last_total_passages,mop_available_expected3y_total_passages,mop_available_last_light_passages,mop_available_expected3y_light_passages,mop_available_last_heavy_passages,mop_available_expected3y_heavy_passages,mop_available_last_light_share,mop_available_expected3y_light_share,mop_available_last_plazas_used,mop_available_expected3y_plazas_used,mop_available_last_yoy,mop_available_expected3y_yoy,mop_available_last_rolling3,mop_available_expected3y_rolling3,anac_available_last_market_units,anac_available_expected3y_market_units,anac_available_last_suzuki_top20_units,anac_available_expected3y_suzuki_top20_units,anac_available_last_suzuki_top20_model_count,anac_available_expected3y_suzuki_top20_model_count,anac_available_last_suzuki_top20_market_share,anac_available_expected3y_suzuki_top20_market_share,anac_available_last_fleet_proxy_age_0_12m,anac_available_expected3y_fleet_proxy_age_0_12m,anac_available_last_fleet_proxy_age_13_36m,anac_available_expected3y_fleet_proxy_age_13_36m,anac_available_last_fleet_proxy_age_37_60m,anac_available_expected3y_fleet_proxy_age_37_60m,cmf_available_damaged_insured_vehicles,cmf_available_insured_vehicles,cmf_available_claim_rate,cmf_available_repair_delay_days,cmf_available_report_age_months
2022-10-01,227272.0,275568.6666666667,171163.0,211219.66666666666,56109.0,64349.0,0.753119609982752,0.766636256632789,4.0,4.0,-0.14742094009078288,,222348.0,271069.3333333333,,,0.0,1509.0,0.0,2.0,,,13656.3,7145.18,3866.2199999999993,0.0,0.0,0.0,,,,,
2022-11-01,255429.0,280068.0,195664.0,213426.0,59765.0,66642.0,0.7660210860943746,0.7620506448433951,4.0,4.0,-0.05769864536502345,,235610.33333333334,275568.6666666667,,,0.0,2516.0,0.0,2.0,,,12020.68,9610.86,5435.08,0.0,0.0,0.0,,,,,
2022-12-01,265694.0,305167.0,209479.0,236981.0,56215.0,68186.0,0.7884220193154531,0.7765616858965747,4.0,4.0,-0.03583377887665029,,249465.0,286934.55555555556,,,0.0,2377.0,0.0,3.0,,,10541.86,11940.32,6853.539999999999,0.0,0.0,0.0,,,,,
2023-01-01,259549.0,280496.5,200235.0,227174.0,59314.0,53322.5,0.7714728240139627,0.8043532881545096,4.0,4.0,-0.07326435008640764,0.5037959090767081,260224.0,265723.6666666666,31708.0,24984.0,0.0,0.0,0.0,0.0,0.0,0.0,8076.18,5970.16,9218.58,0.0,0.0,0.0,,,,,
2023-02-01,288722.0,296919.5,228837.0,236100.5,59885.0,60819.0,0.7925859477282645,0.794696236954576,4.0,4.0,-0.05388852661002008,0.19542754049148026,271321.6666666667,284545.3333333334,,24492.0,0.0,643.0,0.0,2.5,,0.0166176710762698,5746.719999999999,6400.87,11452.96,191.29,0.0,0.0,,,,,
2023-03-01,356893.0,256983.0,298087.0,185203.0,58806.0,71780.0,0.8352279254566495,0.7184462377173554,4.0,4.0,0.05923083315525801,0.21577182076065493,301721.3333333333,278133.0,,41467.0,0.0,707.0,0.0,1.5,,0.0267200424433887,5746.719999999999,6943.79,11452.96,335.11,0.0,0.0,,,,,
2023-04-01,207251.0,221942.0,170680.0,158833.0,36571.0,63109.0,0.8235424678288645,0.7084975852842152,4.0,4.0,-0.3590505644038967,0.37499398070615686,284288.6666666667,258614.83333333334,,,0.0,665.0,0.0,1.5,,,4885.3,7562.169999999999,12279.22,367.07,0.0,0.0,,,,,
2023-05-01,270115.0,230903.0,208427.0,171500.0,61688.0,59403.0,0.7716231975269793,0.7424342555129612,4.0,4.0,-0.042172562480497056,0.13345714430908395,278086.3333333333,236609.3333333333,,34130.0,0.0,639.0,0.0,1.0,,0.0,3799.46,8188.389999999999,13320.74,367.07,0.0,0.0,,,,,
2023-06-01,261943.0,219495.5,205250.0,163533.5,56693.0,55962.0,0.7835674173388867,0.7451919473185071,4.0,4.0,0.01929295484172222,-0.034506534616228435,246436.33333333334,224113.5,,,0.0,1157.0,0.0,2.5,,,2562.7,8843.52,14507.02,826.26,0.0,0.0,,,,,
2023-07-01,231173.0,244665.5,178577.0,191005.5,52596.0,53660.0,0.7707800310797865,0.7819971991073338,4.0,4.0,-0.057771238286997595,-0.15486744016802345,254410.33333333334,231688.0,,,0.0,656.0,0.0,1.0,,,1310.26,8843.52,15708.34,1442.9,0.0,0.0,100324.0,,,76.0,1.0
2023-08-01,200403.0,246921.0,151904.0,188985.0,48499.0,57936.0,0.7579926448206863,0.7644635450971644,4.0,4.0,-0.07066805167824453,-0.14742094009078288,231173.0,237027.3333333333,,,0.0,521.5,0.0,1.0,,,0.0,8843.52,16965.12,1933.1099999999997,0.0,0.0,100324.0,,,76.0,2.0
2023-09-01,243102.0,263249.1666666666,186400.0,202338.6666666667,56702.0,60910.5,0.7667563409597618,0.7686214772582787,4.0,4.0,0.08464730290456424,-0.05769864536502345,224892.66666666666,251611.88888888888,23051.0,,0.0,834.5,0.0,1.0,0.0,,0.0,8843.52,16965.12,2717.54,0.0,0.0,100324.0,,,76.0,3.0
