year,month,days_in_month,weekend_days,public_holidays,working_days,country,region,source_id,feature_scope,feature_semantics,aggregation_rule
2025,7,31,8,1,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2025,8,31,10,1,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2025,9,30,8,2,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2025,10,31,8,2,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2025,11,30,10,1,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2025,12,31,8,2,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2026,1,31,9,1,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2026,2,28,8,0,20,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2026,3,31,9,0,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2026,4,30,8,2,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2026,5,31,10,2,19,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2026,6,30,8,3,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2026,7,31,8,1,22,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2026,8,31,10,1,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2026,9,30,8,2,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2026,10,31,9,2,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2026,11,30,9,1,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
2026,12,31,8,2,21,Chile,national,cl_public_holidays_nager_date,national_calendar_context,calendar_context,monthly_calendar_counts
