model_key,model,sku_count,valid_positive_skus,under_50_skus,under_70_skus,under_100_skus,median_block_wmape,portfolio_block_wmape,actual_total,forecast_total
cold_empirical_bayes5,Cold start empirical bayes5,641,636,23,66,123,279.3901475176139,219.21117453185389,41120.0,107228.94428153447
cold_peer_knn5,Cold start peer knn5,641,636,22,76,139,256.98237890247367,221.42894395279635,41120.0,105778.89098291745
cold_empirical_bayes15,Cold start empirical bayes15,641,636,22,58,113,293.12315268597763,237.36095453360625,41120.0,117124.50248793681
cold_peer_knn15,Cold start peer knn15,641,636,19,66,120,291.91223723335355,247.6959290933553,41120.0,121002.82668507492
cold_subfamily_mean,Cold start subfamily mean,641,636,18,54,111,294.5853346550239,222.20410834197108,41120.0,109921.90040753744
