top_sku_share,sku_count,absolute_error_share,actual_volume_share,signed_error
0.05,30,0.300737821158634,0.28656281519668275,-1788.4647067342191
0.1,60,0.4097839700460782,0.39471029922671746,-2292.4281288752727
0.2,120,0.5521400185614221,0.5425305390563712,-2886.9664510965504
0.5,299,0.8047588103529307,0.7915499271545444,-3437.7677693895844
