policy,all_sku_count,valid_positive_sku_count,under_50_skus,under_70_skus,under_100_skus,under_50_share,under_70_share,median_sku_block_wmape,p75_sku_block_wmape,median_sku_block_mase,portfolio_block_wmape,actual_total,forecast_total,bias_pct
frequency_champion,630,508,165,217,328,0.3248031496062992,0.4271653543307087,84.21357075373331,110.16909281412761,0.4134079584708581,90.43366010423483,3008.0,2817.4825425417653,-6.333692069755143
strategy_tier_champion,630,508,163,217,311,0.32086614173228345,0.4271653543307087,84.47949077401844,114.78189826011658,0.4602824783325195,94.65170127184913,3008.0,3009.85928613657,0.06181137422107921
hierarchical_50,630,508,139,201,309,0.2736220472440945,0.3956692913385827,90.02655049165091,119.16223138295035,0.46543164686723193,97.9959002808532,3008.0,3294.6363739744147,9.529134773085595
sku_global_blend_50,630,508,135,211,311,0.265748031496063,0.4153543307086614,90.43988987853257,117.7401438355446,0.48780436609305594,95.68948596861297,3008.0,3213.1099298008503,6.818814155613374
hierarchical_75,630,508,133,189,294,0.2618110236220472,0.3720472440944882,96.77501370509466,125.18245235305596,0.49485800266265867,103.5295841193326,3008.0,3530.756651825861,17.37887805272144
sku_global_blend_75,630,508,126,194,299,0.24803149606299213,0.38188976377952755,92.7151970565319,121.21611739198367,0.49630480733784765,100.26012831609906,3008.0,3356.4396184248067,11.583763910399158
sku_only,630,508,114,180,262,0.22440944881889763,0.3543307086614173,98.35619768070241,125.42099417633102,0.49705709982500773,105.5259686684255,3008.0,3499.7693070487626,16.348713665184924
