cohort,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,pct_below_50,pct_below_70,pct_below_100
occasional_a,12,9,1,1,2,316.3152776495224,366.1249938046353,0.22579784084972168,149.37641963828727,95.0,66.27071837379921,-30.241349080211354,11.11111111111111,11.11111111111111,22.22222222222222
occasional_b,26,22,0,0,9,119.94740625222525,238.9666939775149,0.5980354623662101,122.21639300509361,194.0,93.66164748229303,-51.720800266859264,0.0,0.0,40.90909090909091
occasional_c,78,72,1,3,11,149.99517730304171,275.9617614112121,1.0771379442678557,156.8389686027662,388.0,370.13267359735335,-4.604981031609962,1.3888888888888888,4.166666666666667,15.277777777777779
all_occasional,116,103,2,4,22,152.74583441870553,285.3137205044428,0.8240597241178707,145.87039870974704,677.0,530.0650394534456,-21.703834644985882,1.941747572815534,3.883495145631068,21.359223300970875
