cohort,rule_id,score_mode,decay,individual_weight,eligible,total_under_50,total_under_70,total_under_100,mean_median_wmape,mean_portfolio_wmape,mean_abs_bias
occasional_b,wmape__d0.75__i0.25,wmape,0.75,0.25,True,2,6,16,100.0,95.4744291500574,61.68157106746514
occasional_b,wmape__d1.00__i0.25,wmape,1.0,0.25,True,2,6,16,100.0,95.4744291500574,61.68157106746514
occasional_b,rank__d0.50__i0.75,rank,0.5,0.75,True,3,5,20,100.0,96.78403421550223,60.41819375882979
occasional_b,rank__d0.75__i0.75,rank,0.75,0.75,True,3,5,19,100.0,97.02528036594606,60.10624686413394
occasional_b,rank__d1.00__i0.75,rank,1.0,0.75,True,3,5,19,100.0,97.02528036594606,60.10624686413394
occasional_b,rank__d0.50__i0.00,rank,0.5,0.0,False,2,5,19,100.03306025664818,103.19547218026099,59.36475874341001
occasional_b,rank__d0.75__i0.00,rank,0.75,0.0,False,2,5,19,100.03306025664818,103.19547218026099,59.36475874341001
occasional_b,rank__d1.00__i0.00,rank,1.0,0.0,False,2,5,19,100.03306025664818,103.19547218026099,59.36475874341001
occasional_b,rank__d0.75__i0.25,rank,0.75,0.25,True,2,5,18,100.00103448288245,96.75885412682828,61.903671904049006
occasional_b,rank__d1.00__i0.25,rank,1.0,0.25,True,2,5,18,100.00103448288245,97.05690078696995,62.20171856419067
occasional_b,rank__d0.50__i0.50,rank,0.5,0.5,True,2,5,17,100.00103448288245,96.78850936693931,63.178935745612705
occasional_b,rank__d0.50__i1.00,rank,0.5,1.0,True,3,4,21,100.0,97.35884641250104,56.348762382967294
occasional_b,rank__d0.75__i1.00,rank,0.75,1.0,True,3,4,20,100.0,98.12056386088311,58.162997800148766
occasional_b,rank__d1.00__i1.00,rank,1.0,1.0,True,3,4,20,100.0,98.12056386088311,58.162997800148766
occasional_b,wmape__d0.50__i0.00,wmape,0.5,0.0,False,2,4,16,100.0,104.8496127245468,57.32956507158938
occasional_b,wmape__d0.75__i0.00,wmape,0.75,0.0,False,2,4,16,100.0,104.8496127245468,57.32956507158938
occasional_b,wmape__d1.00__i0.00,wmape,1.0,0.0,False,2,4,16,100.0,104.8496127245468,57.32956507158938
