segment,sku_id,actual_total,forecast_total,absolute_error,signed_error,bias_pct,wmape,actual_volume_quartile
cold_start,0915912051000,9.0,8.20763549107897,10.954395223649305,-0.7923645089210307,-8.804050099122565,121.71550248499229,Q1
cold_start,0940906322000,7.0,7.933309439798013,8.108468814209866,0.9333094397980126,13.332991997114465,115.83526877442667,Q1
cold_start,0940908352000,18.0,8.875410262473633,18.92802863011803,-9.124589737526367,-50.69216520847982,105.15571461176683,Q2
cold_start,35121M73T10000,17.0,13.573873168115254,16.580868307118156,-3.426126831884746,-20.15368724638086,97.53451945363621,Q2
cold_start,35501M75T00000,32.0,13.545806944622473,32.58328345385896,-18.454193055377527,-57.66935329805477,101.82276079330926,Q4
cold_start,35502M75T00000,29.0,14.312570662919997,30.131187565419353,-14.687429337080003,-50.64630805889656,103.90064677730813,Q4
cold_start,35602M73T00000,10.0,13.117592578468571,10.584416984687145,3.117592578468571,31.17592578468571,105.84416984687145,Q2
cold_start,36250M74T55000,7.0,13.624745705545868,10.044138755951874,6.624745705545868,94.63922436494097,143.4876965135982,Q1
cold_start,38450M80T10000,7.0,7.956996237781931,10.764475918155227,0.9569962377819312,13.671374825456159,153.7782274022175,Q1
cold_start,39102M80T00000,9.0,9.099427758951695,11.073585984283127,0.09942775895169476,1.1047528772410529,123.03984426981252,Q1
cold_start,4161552R00000,5.0,8.334531112543596,6.540663027261003,3.334531112543596,66.69062225087193,130.81326054522006,Q1
cold_start,43250M53T0027N,36.0,9.871104921235585,28.936329848820773,-26.128895078764415,-72.58026410767894,80.37869402450215,Q4
cold_start,57300M74T00000,26.0,13.461797406314234,13.034719925402927,-12.538202593685766,-48.22385612956063,50.133538174626636,Q4
cold_start,57300M75T00000,15.0,13.448980763820847,12.105110255944068,-1.5510192361791528,-10.340128241194352,80.7007350396271,Q2
cold_start,68001M75T00000,21.0,14.001947052396389,19.18368811364174,-6.998052947603611,-33.32406165525529,91.35089577924639,Q3
cold_start,68002M75T00000,17.0,14.15974542293263,13.481927010246356,-2.8402545770673697,-16.707379865102176,79.30545300144915,Q2
cold_start,71711M73T015PK,33.0,12.986588113992466,21.776735265594752,-20.013411886007532,-60.64670268487131,65.99010686543865,Q4
cold_start,71712M69T005PK,18.0,8.85010896344933,17.71377768662506,-9.14989103655067,-50.83272798083706,98.40987603680588,Q3
cold_start,71732M75T00000,22.0,13.220940425187054,16.509202645700245,-8.779059574812946,-39.904816249149754,75.04183020772838,Q3
cold_start,71736M74T00000,21.0,11.941104915035961,11.7714419560558,-9.058895084964039,-43.1375956426859,56.054485505027614,Q3
cold_start,71751M75T105PK,24.0,11.211997450110124,21.009160034140756,-12.788002549889876,-53.283343957874486,87.53816680891981,Q3
cold_start,71761M75T105PK,24.0,10.713835645535497,25.440494529579095,-13.286164354464503,-55.3590181436021,106.0020605399129,Q3
cold_start,71772M74T00000,17.0,13.019857647997751,6.06175978353132,-3.9801423520022485,-23.412602070601462,35.65741049136071,Q2
cold_start,71831M74T00000,25.0,11.228758178427373,14.967139970376838,-13.771241821572627,-55.0849672862905,59.86855988150735,Q3
cold_start,72320M80T00000,25.0,13.388865760372532,13.706777079176662,-11.611134239627468,-46.44453695850987,54.827108316706656,Q4
cold_start,72381M80T10000,32.0,13.752542976040441,20.168111369991664,-18.24745702395956,-57.023303199873624,63.02534803122395,Q4
cold_start,82510M75T20000,6.0,8.792686505810423,11.265386580741204,2.7926865058104227,46.544775096840375,187.7564430123534,Q1
cold_start,83770M55T005PK,10.0,9.363693591855327,6.4850841719024235,-0.636306408144673,-6.36306408144673,64.85084171902423,Q2
cold_start,83841M75T00000,52.0,7.636432241078015,57.232384455859915,-44.36356775892199,-85.31455338254229,110.06227779973061,Q4
cold_start,83932M75T000CB,8.0,14.06192316917766,8.808541923453282,6.0619231691776605,75.77403961472075,110.10677404316603,Q1
cold_start,83934M75T000CB,9.0,13.438941883837893,9.797688746516137,4.438941883837893,49.321576487087704,108.86320829462375,Q1
