segment,all_skus,positive_skus,actual_units,forecast_units,absolute_error,signed_error,median_wmape,bias_pct,absolute_error_share
cold_start,40,40,775.0,470.7888819846722,700.8725567759194,-304.21111801532777,97.97219774522105,-39.25304748584875,0.09054155155295047
developing,26,24,635.0,442.505001515012,537.7876566118078,-192.494998484988,69.4586607567144,-30.31417298976189,0.06947358455529613
new,39,39,1174.0,619.486960079687,934.7270152630297,-554.513039920313,74.19354838709677,-47.23279726748832,0.12075181632119641
occasional,116,103,677.0,530.0650394534456,987.5425992649873,-146.93496054655446,152.74583441870553,-21.70383464498589,0.12757474707441369
rare,56,33,162.0,123.63548717277506,237.506020590518,-38.36451282722494,110.62330307206464,-23.68179804149688,0.0306819883294528
recurring,360,358,5500.0,3462.064279430575,4342.458191353829,-2037.9357205694248,74.9858379280115,-37.053376737625904,0.5609763121666906
