source,selection_eligible,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct
locked_router,True,35,35,0,0,14,104.30432572050374,130.90719734531746,0.3989559328831858,103.59782532362877,178.0,76.90443425011988,-56.79526165723602
global_mean_top5,True,35,35,0,0,14,107.37786451377762,135.9396378970549,0.3989559328831858,104.54652784601743,178.0,84.86131842030439,-52.325102011064956
