sku_id,period_start,actual_units,segment,record_type,period_months,forecast_units,absolute_error,reliability_tier,planning_action,review_cadence,inventory_treatment,owner,block_number,champion_source,individual_rolling_3m_wmape_percent,category_wmape_percent,overall_wmape_percent,selected_model_key,last_actual_month,forecast_start,gap_months
083161010A000,2027-02-01,,dormant,future_forecast,3,4.0,,manual_lifecycle_review,lifecycle_and_reactivation_review,quarterly_or_triggered,supersession_and_obsolescence_policy,parts_lifecycle_owner,4.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
083161010A000,2027-05-01,,dormant,future_forecast,3,4.0,,manual_lifecycle_review,lifecycle_and_reactivation_review,quarterly_or_triggered,supersession_and_obsolescence_policy,parts_lifecycle_owner,5.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
083161010A000,2027-08-01,,dormant,future_forecast,3,4.0,,manual_lifecycle_review,lifecycle_and_reactivation_review,quarterly_or_triggered,supersession_and_obsolescence_policy,parts_lifecycle_owner,6.0,,,,,block_recent6,2026-04-01,2026-05-01,0.0
083313124A000,2026-05-01,,occasional,future_forecast,3,0.7096093893051147,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,1.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
083313124A000,2026-08-01,,occasional,future_forecast,3,0.47365623712539673,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,2.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
083313124A000,2026-11-01,,occasional,future_forecast,3,0.45666950941085815,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,3.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
083313124A000,2027-02-01,,occasional,future_forecast,3,0.46737930178642273,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,4.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
083313124A000,2027-05-01,,occasional,future_forecast,3,0.6907463073730469,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,5.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
083313124A000,2027-08-01,,occasional,future_forecast,3,0.4404456913471222,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,6.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
0911605023000,2026-05-01,,developing,future_forecast,3,0.6314421892166138,,exception_policy,exception_or_inventory_policy,event_driven,avoid_point_forecast_only_decisions,parts_inventory_control,1.0,,,,,block_direct_d2_tweedie,2026-04-01,2026-05-01,0.0
