sku_id,actual_total,forecast_total,absolute_error,wmape,strategy
0915912051000,9.0,8.20763549107897,10.954395223649305,121.71550248499229,Notebook 33 incumbent
0940906322000,7.0,7.933309439798013,8.108468814209866,115.83526877442667,Notebook 33 incumbent
0940908352000,18.0,8.875410262473633,18.92802863011803,105.15571461176683,Notebook 33 incumbent
35121M73T10000,17.0,13.573873168115254,16.580868307118156,97.53451945363621,Notebook 33 incumbent
35501M75T00000,32.0,13.545806944622473,32.58328345385896,101.82276079330926,Notebook 33 incumbent
35502M75T00000,29.0,14.312570662919997,30.131187565419353,103.90064677730813,Notebook 33 incumbent
35602M73T00000,10.0,13.117592578468571,10.584416984687145,105.84416984687145,Notebook 33 incumbent
36250M74T55000,7.0,13.624745705545866,10.044138755951874,143.4876965135982,Notebook 33 incumbent
38450M80T10000,7.0,7.956996237781931,10.764475918155227,153.7782274022175,Notebook 33 incumbent
39102M80T00000,9.0,9.099427758951695,11.073585984283127,123.03984426981252,Notebook 33 incumbent
4161552R00000,5.0,8.334531112543596,6.540663027261003,130.81326054522006,Notebook 33 incumbent
43250M53T0027N,36.0,9.871104921235585,28.936329848820773,80.37869402450215,Notebook 33 incumbent
57300M74T00000,26.0,13.461797406314234,13.034719925402927,50.133538174626636,Notebook 33 incumbent
57300M75T00000,15.0,13.448980763820847,12.105110255944068,80.7007350396271,Notebook 33 incumbent
68001M75T00000,21.0,14.001947052396389,19.18368811364174,91.35089577924639,Notebook 33 incumbent
68002M75T00000,17.0,14.15974542293263,13.481927010246356,79.30545300144915,Notebook 33 incumbent
71711M73T015PK,33.0,12.986588113992466,21.776735265594752,65.99010686543865,Notebook 33 incumbent
71712M69T005PK,18.0,8.85010896344933,17.71377768662506,98.40987603680588,Notebook 33 incumbent
71732M75T00000,22.0,13.220940425187054,16.509202645700245,75.04183020772838,Notebook 33 incumbent
71736M74T00000,21.0,11.941104915035961,11.7714419560558,56.054485505027614,Notebook 33 incumbent
71751M75T105PK,24.0,11.211997450110124,21.009160034140756,87.53816680891981,Notebook 33 incumbent
71761M75T105PK,24.0,10.713835645535497,25.440494529579095,106.0020605399129,Notebook 33 incumbent
71772M74T00000,17.0,13.019857647997751,6.06175978353132,35.65741049136071,Notebook 33 incumbent
71831M74T00000,25.0,11.228758178427373,14.967139970376838,59.86855988150735,Notebook 33 incumbent
72320M80T00000,25.0,13.388865760372532,13.706777079176662,54.827108316706656,Notebook 33 incumbent
72381M80T10000,32.0,13.752542976040441,20.168111369991664,63.02534803122395,Notebook 33 incumbent
82510M75T20000,6.0,8.792686505810423,11.265386580741204,187.7564430123534,Notebook 33 incumbent
83770M55T005PK,10.0,9.363693591855327,6.4850841719024235,64.85084171902423,Notebook 33 incumbent
83841M75T00000,52.0,7.636432241078015,57.232384455859915,110.06227779973061,Notebook 33 incumbent
83932M75T000CB,8.0,14.06192316917766,8.808541923453282,110.10677404316603,Notebook 33 incumbent
