sku_id,expected_units,reactivation_probability,inventory_policy,actual_horizon_demand,reactivated
01550M0612A,15.838173680319857,0.7974267127630292,safety_stock_review,1.0,True
083100012A000,4.322595500358035,0.8330777897090897,safety_stock_review,0.0,False
083161010A000,4.761539446949943,0.6920717266535872,monitor_reactivation,9.0,True
0911912006XC0,6.244611706793985,0.7974267127630292,safety_stock_review,1.0,True
0915912024000,23.330561734779597,0.6920717266535872,monitor_reactivation,11.0,True
0924130010000,4.674756111126115,0.7974267127630292,safety_stock_review,14.0,True
0930508011000,10.352212823930914,0.6920717266535872,monitor_reactivation,6.0,True
0940908322000,8.599395100295789,0.7974267127630292,safety_stock_review,5.0,True
0940909309000,6.2220752200437435,0.8330777897090897,safety_stock_review,4.0,True
0940910313000,8.236674922740706,0.8330777897090897,safety_stock_review,1.0,True
09409M06L05000,14.542419855324155,0.7974267127630292,safety_stock_review,23.0,True
09409M07308P4Z,7.814467302461855,0.7974267127630292,safety_stock_review,0.0,False
09409M07308R8J,11.690274413078358,0.8330777897090897,safety_stock_review,1.0,True
09409M08308R8J,11.210607817198127,0.8330777897090897,safety_stock_review,15.0,True
0944829004000,6.358874697515935,0.6920717266535872,monitor_reactivation,1.0,True
13870M71L00000,3.291939171511623,0.6637503166064793,monitor_reactivation,2.0,True
1435772J00000,5.934275262515605,0.8330777897090897,safety_stock_review,7.0,True
1793168P00000,4.926975411167124,0.8330777897090897,safety_stock_review,0.0,False
2371081A40000,3.5635380090254496,0.6920717266535872,monitor_reactivation,1.0,True
3512150A30000,4.413046915581164,0.8330777897090897,safety_stock_review,1.0,True
3526779P00000,4.8491845106447675,0.7974267127630292,safety_stock_review,3.0,True
3532065D41000,4.399342155698872,0.8330777897090897,safety_stock_review,1.0,True
35612M60B50000,5.070875389931192,0.8330777897090897,safety_stock_review,1.0,True
35750M68P11000,4.143519971229416,0.8330777897090897,safety_stock_review,1.0,True
3591075F61000,4.303408836522825,0.8330777897090897,safety_stock_review,2.0,True
3834651K42000,4.1786955215939665,0.8330777897090897,safety_stock_review,1.0,True
3845061J12000,3.919675559818643,0.8330777897090897,safety_stock_review,0.0,False
3F11779S00000,4.20747551734678,0.8330777897090897,safety_stock_review,5.0,True
432006682227S,2.7648703837424535,0.6920717266535872,monitor_reactivation,3.0,True
4325261J0027S,6.970355109616901,0.8330777897090897,safety_stock_review,2.0,True
4345965J00000,4.4952754748749175,0.8330777897090897,safety_stock_review,3.0,True
69100M66L01000,4.015608878994689,0.8330777897090897,safety_stock_review,1.0,True
7112073R00000,4.399342155698872,0.8330777897090897,safety_stock_review,0.0,False
71721M76M005PK,3.9607898394655194,0.8330777897090897,safety_stock_review,0.0,False
71740M68P20C48,3.031092925503452,0.6920717266535872,monitor_reactivation,9.0,True
71811M68P20799,5.930640587660411,0.7974267127630292,safety_stock_review,2.0,True
72211M60M005PK,4.700846873109302,0.8330777897090897,safety_stock_review,1.0,True
7283165D10000,3.5635380090254496,0.6920717266535872,monitor_reactivation,1.0,True
7755365D00000,2.9225309153508943,0.6637503166064793,monitor_reactivation,10.0,True
77831M80E50000,4.063575538582711,0.8330777897090897,safety_stock_review,2.0,True
7783278R000PG,3.6318756022905045,0.8330777897090897,safety_stock_review,1.0,True
7821965J105PK,6.605808496747927,0.8330777897090897,safety_stock_review,5.0,True
8143061A00000,5.3586753474593305,0.8330777897090897,safety_stock_review,1.0,True
8185080G00000,3.8237422406425967,0.8330777897090897,safety_stock_review,0.0,False
82840M68P005PK,2.553122659190166,0.6637503166064793,monitor_reactivation,5.0,True
82960M60G00V6N,2.897981654622953,0.6920717266535872,monitor_reactivation,3.0,True
83714M62B00000,11.114674498022083,0.8330777897090897,safety_stock_review,4.0,True
8392364J010CB,4.8491845106447675,0.7974267127630292,safety_stock_review,1.0,True
8470381A14V12,3.7278089214665506,0.8330777897090897,safety_stock_review,0.0,False
8687761JA0000,5.198041309682072,0.7974267127630292,safety_stock_review,8.0,True
8721174G10P4Z,3.7917644675839144,0.8330777897090897,safety_stock_review,1.0,True
8721176G11T01,4.159508857758757,0.8330777897090897,safety_stock_review,3.0,True
88912M76M00000,4.151470912570158,0.7974267127630292,safety_stock_review,5.0,True
