candidate_id,positive_cases,under_50,under_70,under_100,median_wmape,portfolio_wmape,actual_total,forecast_total,pct_below_50,pct_below_70,pct_below_100,bias_pct
Notebook 13 incumbent,45,1,2,4,283.3333333333333,309.40419099765086,188.0,547.5124830784528,2.2222222222222223,4.444444444444445,8.88888888888889,191.23004419066638
Notebook 39 locked challenger,45,0,0,1,212.47754564404892,204.37367804858482,188.0,314.0833187358119,0.0,0.0,2.2222222222222223,67.06559507224036
