sku_id,block_count,actual_total,forecast_total,absolute_error,mean_block_absolute_error,block_naive_scale,block_wmape_percent,block_mase,tournament_cohort,abc_units_tier
083313124A000,6,1.0,4.192331314086914,3.9046813249588013,0.6507802208264669,1.7142857142857142,390.4681324958801,0.37962179548210573,recurring_b,B
0915918022000,6,22.0,11.63668668270111,13.92489206790924,2.3208153446515403,6.076923076923077,63.29496394504201,0.38190632253759527,recurring_a,A
0928017002000,6,61.0,26.02058982849121,43.16404342651367,7.194007237752278,15.76923076923077,70.76072692871094,0.4562053370281932,recurring_a,A
0928022020000,6,12.0,3.546321213245392,9.811831772327423,1.635305295387904,1.6666666666666667,81.76526476939519,0.9811831772327423,recurring_b,B
0928056004000,6,30.0,17.275017499923706,25.099493741989136,4.183248956998189,17.307692307692307,83.66497913996379,0.24169882862656206,recurring_a,A
0928326016000,6,31.0,13.133656859397888,22.724788308143616,3.787464718023936,11.307692307692308,73.30576873594715,0.3349458594170827,recurring_a,A
0928340021000,6,93.0,20.42315411567688,72.57684588432312,12.09614098072052,11.23076923076923,78.03961923045497,1.0770536489682656,recurring_a,A
0928340027000,6,49.0,16.296767950057983,37.170660734176636,6.195110122362773,7.615384615384615,75.85849129423804,0.8134993089971319,recurring_a,A
0928345012000,6,34.0,11.862111330032349,23.956408977508545,3.9927348295847573,5.230769230769231,70.4600264044369,0.763316952714733,recurring_a,A
0928906003000,6,580.0,88.80446147918701,491.195538520813,81.86592308680217,50.92307692307692,84.68888595186431,1.607638973003668,recurring_a,A
0932010024000,6,44.0,18.487101793289185,37.93015742301941,6.321692903836568,6.769230769230769,86.20490323413502,0.9338864517031293,recurring_a,A
0938019004000,6,3.0,3.3871726393699646,3.7622830271720886,0.6270471711953481,2.076923076923077,125.40943423906963,0.30191160094590835,recurring_b,B
0940307333000,6,5.0,4.271489500999451,4.33277428150177,0.7221290469169617,5.538461538461538,86.6554856300354,0.13038441124889585,recurring_b,B
09403M07311000,6,28.0,9.126503109931946,22.433646321296692,3.7389410535494485,5.230769230769231,80.12016543320247,0.7147975543550417,recurring_a,A
09409063145PK,6,71.0,8.611610770225525,77.29651868343353,12.882753113905588,20.33333333333333,108.86833617385004,0.633578021995357,recurring_b,B
0940907332000,6,14.0,61.452260971069336,47.452260971069336,7.90871016184489,56.76923076923077,338.9447212219238,0.13931332263412408,recurring_a,A
0940908327000,6,81.0,59.780640602111816,47.44161891937256,7.906936486562093,35.07692307692308,58.56989990045995,0.22541704895900702,recurring_a,A
09409M07L025PK,6,1.0,69.95625400543213,68.95625400543213,11.492709000905355,39.91666666666666,6895.625400543213,0.28791755325858936,recurring_a,A
09409M15L01000,6,176.0,66.90536212921143,136.26156902313232,22.71026150385539,65.15384615384616,77.42134603587064,0.34856363583249117,recurring_a,A
0947112236000,6,0.0,17.346285581588745,17.346285581588745,2.8910475969314575,1.875,,1.5418920516967773,recurring_a,A
09471M12182000,6,6.0,13.609522819519043,13.885379791259766,2.314229965209961,4.461538461538462,231.4229965209961,0.5187067163401636,recurring_a,A
11610M65L00000,6,8.0,12.2973952293396,8.029422283172607,1.3382370471954346,6.769230769230769,100.36777853965759,0.19769410924478012,recurring_a,A
11610M67P10000,6,13.0,11.005733013153076,9.319290399551392,1.5532150665918987,4.230769230769231,71.68684922731839,0.3671235611944488,recurring_a,A
11610M76M00000,6,13.0,8.413567185401917,5.663844704627991,0.9439741174379984,2.8461538461538463,43.56803618944608,0.33166658180254,recurring_a,A
11610M79G50000,6,3.0,8.655292391777039,6.669300436973572,1.1115500728289287,7.3076923076923075,222.31001456578574,0.1521068520713271,recurring_a,A
11620M68K00000,6,11.0,5.003843128681183,8.994371473789215,1.4990619122982025,6.923076923076923,81.76701339808378,0.21653116510974035,recurring_b,B
11620M79F40000,6,4.0,8.19502055644989,6.442537188529968,1.0737561980883281,6.538461538461538,161.0634297132492,0.1642215361782149,recurring_a,A
11710M65L00000,6,5.0,13.020212173461914,9.21261978149414,1.5354366302490234,4.0,184.2523956298828,0.38385915756225586,recurring_a,A
11710M68K00000,6,39.0,4.9708117842674255,34.029188215732574,5.671531369288762,11.384615384615383,87.25432875828865,0.4981750527077967,recurring_b,B
11710M76M00000,6,19.0,11.548252701759338,10.01848828792572,1.66974804798762,5.076923076923077,52.72888572592484,0.3288897670278646,recurring_a,A
11710M79F80000,6,4.0,8.209866642951965,5.127681374549866,0.8546135624249777,3.583333333333333,128.19203436374664,0.23849680811859844,recurring_a,A
1428180JA0000,6,20.0,13.635109663009644,11.239925622940063,1.8733209371566772,5.307692307692308,56.19962811470032,0.3529445243918377,recurring_a,A
15910M79GB1000,6,10.0,12.686164021492004,10.401149153709412,1.7335248589515686,6.230769230769231,104.01149153709412,0.27822003909099247,recurring_a,A
15910M79GC0000,6,30.0,4.147054731845856,27.390128314495087,4.565021385749181,7.461538461538462,91.30042771498363,0.6118069898426737,recurring_b,B
1711279P01000,6,4.0,4.86392468214035,1.9781420826911926,0.3296903471151988,2.1538461538461537,49.453552067279816,0.15307051830348517,recurring_b,B
1770054P30000,6,11.0,3.5724951028823853,7.427504897117615,1.2379174828529358,3.3846153846153846,67.52277179197831,0.3657483472065492,recurring_b,B
1770079P21000,6,6.0,4.8861419558525085,3.830427587032318,0.6384045978387197,3.3846153846153846,63.84045978387197,0.18861954027053082,recurring_b,B
1770081P00000,6,9.0,4.732194364070892,4.267805635929108,0.7113009393215179,3.0,47.42006262143453,0.23710031310717264,recurring_b,B
