result,cohort,all_sku_count,valid_positive_sku_count,under_50_skus,under_70_skus,under_100_skus,under_50_share,under_70_share,under_100_share,median_sku_block_wmape,p75_sku_block_wmape,median_sku_block_mase,portfolio_block_wmape,actual_total,forecast_total,bias_pct
13 frequency champion,recurring_a,215,213,34,107,182,0.1596244131455399,0.5023474178403756,0.8544600938967136,69.96387615799904,82.48125950495402,0.34361323118209836,77.56351592180812,4299.0,2483.922714114189,-42.22091849001654
13 frequency champion,recurring_b,110,110,14,40,80,0.12727272727272726,0.36363636363636365,0.7272727272727273,78.25474802185508,102.9582195196833,0.3246272141345635,82.07704202287475,1023.0,603.7986783385277,-40.97764630121919
13 frequency champion,combined,325,323,48,147,262,0.14860681114551083,0.4551083591331269,0.8111455108359134,72.11232632398605,92.06661753582233,0.33612686271468795,78.43111028509094,5322.0,3087.721392452717,-41.981935504458534
14 locked A/B champions,recurring_a,215,213,36,111,178,0.16901408450704225,0.5211267605633803,0.8356807511737089,68.570867744652,82.60614701679775,0.34380240616975005,76.72720992806401,4299.0,2707.362456679344,-37.02343669040837
14 locked A/B champions,recurring_b,110,110,10,31,84,0.09090909090909091,0.2818181818181818,0.7636363636363637,79.57237662233379,97.70288952759334,0.33877025941417394,83.62361361961794,1023.0,505.5685964524746,-50.57980484335537
14 locked A/B champions,combined,325,323,46,142,262,0.14241486068111456,0.43962848297213625,0.8111455108359134,72.24598079919815,91.12951870147998,0.3429009948546688,78.05284333213386,5322.0,3212.9310531318188,-39.62925492048443
