sku_id,demand_type,total_demand,total_months,months_with_demand
09409M08006000,Erratic,3193.0,28,27
09409M07355000,Erratic,1052.0,28,23
15910M84381000,Intermittent,232.0,28,10
82982M65D00000,Intermittent,151.0,28,13
09409M10L04000,Lumpy,928.0,28,20
0928906003000,Lumpy,766.0,28,21
09409M07L01000,Smooth,12745.0,28,28
09409M07346000,Smooth,10211.0,28,28
