demand_type,number_of_skus,total_demand,median_zero_month_share,median_average_demand_interval,sku_share,demand_share
Smooth,972,156317.0,0.0714285714285714,1.0769230769230769,0.1204460966542751,0.6581103383237062
Intermittent,6593,52809.0,0.8333333333333334,6.0,0.8169764560099133,0.22233121705596065
Erratic,124,16049.0,0.11555555555555555,1.1306818181818183,0.015365551425030979,0.0675679089270979
Lumpy,381,12349.0,0.6363636363636364,2.75,0.04721189591078067,0.05199053569323521
