cohort,config_id,validation_under_70,validation_under_50,validation_median_wmape,overfit_flag
recurring_a,temp6.00__decay1.00__shrink2.0__peer0.35__top2__memory0.50,141,99,53.443494837283524,False
recurring_b,temp1.00__decay0.50__shrink6.0__peer0.00__top2__memory1.00,54,34,67.4409353164445,False
