cohort,positive_skus,below_50,below_70,below_100,median_wmape,median_mase,pct_below_50,pct_below_70,pct_below_100
recurring_a,213,38,112,178,68.67550675384845,0.3946705654916193,17.84037558685446,52.582159624413144,83.5680751173709
recurring_b,110,16,43,74,75.97258422223001,0.5176672824494263,14.545454545454545,39.09090909090909,67.27272727272727
