cohort,source,accepted,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct
recurring_a,personalised_memory,True,215,213,38,112,178,68.67550675384845,83.41435294550588,0.3946705654916193,76.97383924366042,4299.0,2748.1933344036997,-36.0736605163131
recurring_a,recurring_ensemble_champion,False,215,213,36,111,178,68.570867744652,82.60614701679775,0.34380240616975005,76.72720992806401,4299.0,2707.362456679344,-37.02343669040837
recurring_b,personalised_memory,False,110,110,13,39,79,80.94940316991992,101.43288193900253,0.5383277102934687,82.98618897290402,1023.0,636.9665107767552,-37.73543394166616
recurring_b,recurring_ensemble_champion,True,110,110,16,43,74,75.97258422223001,104.31724284543566,0.5176672824494263,82.1475325908256,1023.0,776.3557917929551,-24.10989327537096
