sku_id,top_expert,top_expert_weight,effective_experts,cohort
0915918022000,candidate_11,0.5032036719470958,1.9999178952591756,recurring_a
0928017002000,candidate_12,0.5001297998736445,1.9999998652159514,recurring_a
0928056004000,candidate_10,0.5260264084032072,1.9945956515840324,recurring_a
0928326016000,candidate_12,0.5193309636632791,1.9970149726044453,recurring_a
0928340021000,candidate_08,0.5085029371842112,1.999421767698575,recurring_a
0928340027000,candidate_12,0.5584164102085282,1.9730678061136024,recurring_a
0928345012000,candidate_10,0.5038314673185325,1.999882565761301,recurring_a
0928906003000,candidate_08,0.5057583311658053,1.9997347681561095,recurring_a
0932010024000,candidate_09,0.5012992117441296,1.999986496481925,recurring_a
09403M07311000,candidate_04,0.514518525798404,1.9983151198764206,recurring_a
0940907332000,synthetic_mean,0.5123276183196588,1.9987849772014201,recurring_a
0940908327000,candidate_09,0.5058394068398558,1.9997272478240173,recurring_a
09409M07L025PK,candidate_08,0.516195378191505,1.9979038769726118,recurring_a
09409M15L01000,candidate_11,0.5034118853559302,1.9999068766427257,recurring_a
0947112236000,candidate_12,0.5605096489586436,1.971131458213127,recurring_a
09471M12182000,candidate_11,0.503185231654689,1.999918837688242,recurring_a
11610M65L00000,candidate_12,0.5070660849995503,1.999600643301046,recurring_a
11610M67P10000,candidate_10,0.5014707715078314,1.99998269479911,recurring_a
11610M76M00000,candidate_08,0.5024504347763001,1.9999519641090078,recurring_a
11610M79G50000,synthetic_mean,0.503342914780933,1.9999106033621974,recurring_a
11620M79F40000,candidate_11,0.5011325236700306,1.9999897391737373,recurring_a
11710M65L00000,candidate_07,0.5256988768298178,1.9947304625278721,recurring_a
11710M76M00000,candidate_09,0.5045848122180647,1.9998318501137817,recurring_a
11710M79F80000,candidate_09,0.5020084582256239,1.9999677292851556,recurring_a
1428180JA0000,candidate_08,0.5476923987722895,1.9819675447538618,recurring_a
15910M79GB1000,candidate_00,0.503896000502935,1.999878576812892,recurring_a
17700M60M00000,candidate_08,0.5023231110563523,1.9999568261721692,recurring_a
