block_start,actual,forecast,absolute_error,block_portfolio_wmape,cohort
2024-11-01,725.0,496.6713854356272,509.0628962851493,70.21557190139991,recurring_a
2025-02-01,631.0,483.3901270637586,461.3412107537448,73.11271168839062,recurring_a
2025-05-01,836.0,455.91904232299294,634.9461519723129,75.95049664740586,recurring_a
2025-08-01,690.0,458.0219576252135,544.5755994020727,78.92399991334386,recurring_a
2025-11-01,720.0,433.7258799430598,588.6024674579456,81.75034270249245,recurring_a
2026-02-01,697.0,420.4649420130481,570.5770232137362,81.86183977241552,recurring_a
2024-11-01,195.0,111.66184259928472,145.96546837654688,74.85408634694713,recurring_b
2025-02-01,209.0,107.28545720989028,160.58936281679513,76.83701570181586,recurring_b
2025-05-01,146.0,103.65657384162151,115.71058163427595,79.25382303717531,recurring_b
2025-08-01,134.0,108.25118468970506,110.35021855966748,82.35090937288618,recurring_b
2025-11-01,184.0,104.8314599965441,177.85257067745835,96.65900580296649,recurring_b
2026-02-01,155.0,101.27999243970952,138.48051112806428,89.34226524391244,recurring_b
2024-11-01,35.0,15.236905678806892,32.769106446828445,93.62601841950985,recurring_c
2025-02-01,29.0,17.97207160556042,30.211149958296005,104.17637916653794,recurring_c
2025-05-01,27.0,15.022076840875252,27.44321279373955,101.64152886570206,recurring_c
2025-08-01,37.0,8.037663769805556,38.460186773213735,103.9464507384155,recurring_c
2025-11-01,34.0,9.175000008476543,35.34016918871452,103.94167408445446,recurring_c
2026-02-01,16.0,11.460716346595198,20.180303915266954,126.12689947041846,recurring_c
2024-11-01,955.0,623.5701337137189,687.7974711085246,72.02067760298686,all_abc
2025-02-01,869.0,608.6476558792093,652.1417235288359,75.04507750619516,all_abc
2025-05-01,1009.0,574.5976930054896,778.0999464003283,77.11595108031004,all_abc
2025-08-01,861.0,574.310806084724,693.3860047349539,80.53263701915841,all_abc
2025-11-01,938.0,547.7323399480805,801.7952073241185,85.47923319020452,all_abc
2026-02-01,868.0,533.2056507993528,729.2378382570674,84.01357583606769,all_abc
