sku_id,actual_total,forecast_total,absolute_error,mean_absolute_error,block_naive_scale,wmape,mase,cohort,official_source_notebook
0915918022000,22.0,10.790708262299864,14.556649733386816,2.4261082888978027,5.555555555555555,66.1665896972128,0.4366994920016045,recurring_a,17_validation_locked
0928017002000,61.0,29.735289599755347,41.51574108797682,6.91929018132947,10.555555555555555,68.05859194750299,0.6555117013891076,recurring_a,17_validation_locked
0928056004000,30.0,16.302405128151577,25.024305883651763,4.170717647275294,11.666666666666666,83.41435294550588,0.35749008405216803,recurring_a,17_validation_locked
0928326016000,31.0,13.451598897348926,22.50473150469618,3.7507885841160302,5.444444444444445,72.59590807966511,0.6889203521845769,recurring_a,17_validation_locked
0928340021000,93.0,20.738873268865888,72.26112673113411,12.043521121855685,8.666666666666666,77.70013627003668,1.3896370525218098,recurring_a,17_validation_locked
0928340027000,49.0,16.68564847864993,37.31071399544987,6.218452332574979,8.222222222222221,76.14431427642832,0.7562982566645245,recurring_a,17_validation_locked
0928345012000,34.0,12.17298348956605,24.09063612501174,4.01510602083529,5.555555555555555,70.85481213238748,0.7227190837503523,recurring_a,17_validation_locked
0928906003000,580.0,69.817635053569,510.182364946431,85.0303941577385,31.55555555555556,87.9624767149019,2.6946251669705856,recurring_a,17_validation_locked
0932010024000,44.0,14.710103282829257,39.07673375671375,6.512788959452291,4.888888888888889,88.8107585379858,1.3321613780697867,recurring_a,17_validation_locked
09403M07311000,28.0,9.87579107424347,22.481487691529733,3.7469146152549553,3.555555555555556,80.29102746974904,1.0538197355404562,recurring_a,17_validation_locked
0940907332000,14.0,63.91130862862414,49.91130862862414,8.318551438104024,50.11111111111112,356.50934734731527,0.16600213512846163,recurring_a,17_validation_locked
0940908327000,81.0,49.73780433944231,49.841165344783214,8.306860890797202,33.0,61.53230289479409,0.2517230572968849,recurring_a,17_validation_locked
09409M07L025PK,1.0,58.217515575766356,57.217515575766356,9.53625259596106,44.55555555555556,5721.751557576636,0.2140306068918941,recurring_a,17_validation_locked
09409M15L01000,176.0,60.92559431384893,136.11566319303958,22.685943865506598,56.333333333333336,77.33844499604521,0.4027090627013005,recurring_a,17_validation_locked
0947112236000,0.0,16.607144245149808,16.607144245149808,2.767857374191635,1.875,,1.476190599568872,recurring_a,17_validation_locked
09471M12182000,6.0,17.96872473022986,16.31040731782963,2.7184012196382716,5.666666666666667,271.84012196382713,0.47971786228910673,recurring_a,17_validation_locked
11610M65L00000,8.0,12.93344072905514,8.253133571747785,1.3755222619579641,4.333333333333333,103.16416964684731,0.31742821429799173,recurring_a,17_validation_locked
11610M67P10000,13.0,12.38954455571494,9.1491972602051,1.5248662100341832,2.6666666666666665,70.37844046311615,0.5718248287628187,recurring_a,17_validation_locked
11610M76M00000,13.0,8.990250411852188,5.697146779985839,0.9495244633309731,2.555555555555556,43.82420599989106,0.3715530508686416,recurring_a,17_validation_locked
11610M79G50000,3.0,10.866115027682918,8.228056601042791,1.3713427668404652,5.0,274.268553368093,0.274268553368093,recurring_a,17_validation_locked
11620M79F40000,4.0,11.160876819412128,7.5636971792624,1.2606161965437332,6.333333333333333,189.09242948156,0.1990446626121684,recurring_a,17_validation_locked
11710M65L00000,5.0,12.71857995524977,9.155956794161488,1.5259927990269146,3.333333333333333,183.11913588322977,0.4577978397080744,recurring_a,17_validation_locked
11710M76M00000,19.0,10.616987266723115,10.048572091423564,1.6747620152372606,5.444444444444445,52.88722153380823,0.307609349737456,recurring_a,17_validation_locked
11710M79F80000,4.0,7.8821073708805915,4.923663991774422,0.820610665295737,3.6666666666666665,123.09159979436055,0.2238029087170192,recurring_a,17_validation_locked
1428180JA0000,20.0,12.64335156274938,11.62964539037977,1.9382742317299615,5.777777777777778,58.14822695189885,0.33547054010710875,recurring_a,17_validation_locked
15910M79GB1000,10.0,12.515621897950574,10.30008033745501,1.7166800562425015,4.555555555555555,103.00080337455009,0.3768322074678662,recurring_a,17_validation_locked
17700M60M00000,4.0,9.936204377293805,5.936204377293806,0.9893673962156343,2.111111111111111,148.40510943234514,0.4686477139968794,recurring_a,17_validation_locked
17700M67L00000,9.0,11.822014934490852,8.787475996803831,1.4645793328006385,5.111111111111111,97.63862218670924,0.2865481303305597,recurring_a,17_validation_locked
17700M67P00000,16.0,12.593274336938828,8.249805621850523,1.374967603641754,2.4444444444444446,51.56128513656577,0.5624867469443539,recurring_a,17_validation_locked
17760M67P00000,10.0,8.552175588609948,4.963749518065797,0.8272915863442996,1.1111111111111112,49.63749518065798,0.7445624277098696,recurring_a,17_validation_locked
1781254G00000,23.0,9.509949594792113,13.490050405207887,2.2483417342013143,3.333333333333333,58.65239306612125,0.6745025202603944,recurring_a,17_validation_locked
17861M68P00000,14.0,12.814981708866004,10.405933725888229,1.7343222876480382,5.111111111111111,74.32809804205877,0.3393239258441814,recurring_a,17_validation_locked
17878M74L00000,13.0,8.745258522428747,10.167280170537973,1.6945466950896622,4.777777777777778,78.20984746567672,0.3546725640885339,recurring_a,17_validation_locked
17920M76M00000,42.0,12.630261338356465,29.369738661643535,4.8949564436072555,7.111111111111111,69.92794919438936,0.6883532498822703,recurring_a,17_validation_locked
17931M71P00000,9.0,15.462225867880495,6.998205770103873,1.1663676283506454,4.333333333333333,77.75784189004304,0.2691617603886105,recurring_a,17_validation_locked
27431M79F00000,16.0,12.656632615888146,9.977044551655204,1.6628407586092007,3.4444444444444446,62.35652844784503,0.4827602202413808,recurring_a,17_validation_locked
2811380J015PK,12.0,11.491299771067325,7.523850340734997,1.253975056789166,3.0,62.69875283945831,0.4179916855963887,recurring_a,17_validation_locked
33690M60M00000,12.0,10.827243476303428,8.183962229992876,1.3639937049988127,4.666666666666667,68.19968524994063,0.2922843653568884,recurring_a,17_validation_locked
3512052R21000,3.0,8.529334135534633,6.497765291173116,1.082960881862186,3.0,216.5921763724372,0.3609869606207287,recurring_a,17_validation_locked
3512052S10000,76.0,15.169961701138256,60.830038298861744,10.138339716476958,3.333333333333333,80.03952407744967,3.0415019149430877,recurring_a,17_validation_locked
