model_key,model,all_sku_count,valid_positive_sku_count,under_50_skus,under_70_skus,under_100_skus,under_50_share,under_70_share,median_sku_block_wmape,p75_sku_block_wmape,median_sku_block_mase,portfolio_block_wmape,actual_total,forecast_total,bias_pct
cold_peer_knn15,Cold start peer knn15,630,564,50,96,149,0.08865248226950355,0.1702127659574468,227.60455109153617,635.9676744442698,,220.87400618190904,6251.0,16745.60474526348,167.88681403397027
cold_empirical_bayes5,Cold start empirical bayes5,630,564,49,98,156,0.08687943262411348,0.17375886524822695,221.3654595010222,599.6084072693775,,197.50859068245347,6251.0,14889.525315393643,138.1942939592648
cold_peer_knn5,Cold start peer knn5,630,564,47,109,171,0.08333333333333333,0.19326241134751773,187.10872406939868,526.632781649433,,200.35204576992075,6251.0,14729.204578384964,135.62957252255583
cold_empirical_bayes15,Cold start empirical bayes15,630,564,46,91,149,0.08156028368794327,0.16134751773049646,233.33727044136776,630.0045006409256,,211.9196775268526,6251.0,16200.185423864677,159.16150094168418
cold_subfamily_mean,Cold start subfamily mean,630,564,41,94,156,0.0726950354609929,0.16666666666666666,242.2525848413635,585.5963113388,,198.76983648101586,6251.0,15187.263826981189,142.95734805601006
