sku_id,month,demand,demand_type,row_is_collision,collision_flag,Country,Brand,Channel,REGION
3565064J21000,2023-09-01,3.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35650M67P00000,2021-07-01,31.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35650M74L00000,2024-06-01,13.0,Erratic,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35651M68K00000,2022-01-01,9.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35651M75L00000,2023-10-01,5.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35670M74L00000,2023-10-01,10.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
35671M68K00000,2025-06-01,2.0,Erratic,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
4243163J10000,2025-08-01,18.0,Erratic,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
43250M67K0027N,2025-10-01,23.0,Erratic,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
43250M83P0027N,2025-02-01,4.0,Erratic,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
57300M67P00000,2022-09-01,5.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
57420M76M00000,2024-07-01,1.0,Erratic,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
5761065J10000,2025-06-01,5.0,Erratic,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
5761154P00000,2023-11-01,1.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
57611M55T00000,2023-05-01,1.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
5771065J10000,2021-08-01,8.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
57711M53M00000,2022-11-01,6.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
58230M62S00000,2024-08-01,5.0,Erratic,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
58230M68K01000,2021-04-01,1.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
58230M68K01000,2023-10-01,0.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
58230M68K01000,2024-09-01,1.0,Erratic,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
5826077K00000,2024-12-01,2.0,Erratic,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
58270M76M01000,2021-12-01,12.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
65500M55T10000,2023-12-01,1.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
69100M53M00000,2023-04-01,5.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
69100M67P10000,2021-08-01,7.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
7171179P00799,2022-06-01,12.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
71711M66L005PK,2024-09-01,4.0,Erratic,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
71711M67P00799,2024-09-01,5.0,Erratic,True,COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
71711M74L00799,2023-05-01,9.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
71711M75L00799,2021-02-01,3.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
71711M79M00799,2021-04-01,6.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
7172161P005PK,2022-12-01,7.0,Erratic,False,NON COLLISION,CHILE,SUZUKI,DISTRIBUTION,AMERICAS
