candidate_id,positive_cases,under_50,under_70,under_100,median_wmape,portfolio_wmape,actual_total,forecast_total,pct_below_50,pct_below_70,pct_below_100,bias_pct
Chronology-safe baseline incumbent,39,2,3,31,85.0,97.70833743887697,1174.0,568.6262162340065,5.128205128205129,7.6923076923076925,79.48717948717949,-51.56505824241853
New-SKU short-history blend locked challenger,39,2,13,31,74.83870967741936,79.93430827185811,1174.0,589.9875810282732,5.128205128205129,33.333333333333336,79.48717948717949,-49.74552120713175
