cohort,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,pct_below_50,pct_below_70,pct_below_100
occasional_a,12,9,1,2,3,256.977379322052,322.87150621414185,0.2002031706073732,126.21967566640754,95.0,61.12281847000122,-35.66019108420924,11.11111111111111,22.22222222222222,33.333333333333336
occasional_b,26,22,0,1,9,100.650206108888,241.96858296791711,0.5964037475210648,124.4333825946139,194.0,94.42827157503339,-51.32563320874567,0.0,4.545454545454546,40.90909090909091
occasional_c,78,72,0,0,10,137.5660591616243,256.5494918823242,0.8083882566404575,148.61234053179305,388.0,312.9497272455793,-19.342853802685745,0.0,0.0,13.88888888888889
all_occasional,116,103,1,3,22,133.81822572032812,261.38265833627275,0.7019598524171824,138.54140847562704,677.0,468.5008172906139,-30.797515909805924,0.970873786407767,2.912621359223301,21.359223300970875
