sku_id,total_months,months_with_demand,total_demand,positive_demand_sum,positive_demand_sum_sq,average_demand_interval,squared_coefficient_of_variation,demand_type,zero_month_share
0920914001000,61,26,40.0,40.0,86.0,2.3461538461538463,0.41339999999999993,Intermittent,0.5737704918032787
09209M09L02000,64,64,825.0,825.0,16217.0,1.0,0.5332361304240092,Erratic,0.0
0924120006000,39,4,6.0,6.0,12.0,9.75,0.4444444444444444,Intermittent,0.8974358974358975
0924130010000,64,11,25.0,25.0,87.0,5.818181818181818,0.5843199999999998,Lumpy,0.828125
0924616021000,64,58,422.0,422.0,4836.0,1.103448275862069,0.5851202881983153,Erratic,0.09375
0924820003000,64,19,32.0,32.0,76.0,3.3684210526315788,0.4329427083333335,Intermittent,0.703125
0925020023000,18,2,2.0,2.0,2.0,9.0,0.0,Intermittent,0.8888888888888888
0925025007000,56,7,9.0,9.0,15.0,8.0,0.345679012345679,Intermittent,0.875
0925030003000,56,2,2.0,2.0,2.0,28.0,0.0,Intermittent,0.9642857142857143
0925030023000,10,1,1.0,1.0,1.0,10.0,,Intermittent,0.9
0926225187000,21,1,1.0,1.0,1.0,21.0,,Intermittent,0.9523809523809523
0928010016000,7,7,7.0,7.0,7.0,1.0,0.0,Smooth,0.0
0928017002000,64,41,342.0,342.0,5914.0,1.5609756097560976,1.099891847064054,Lumpy,0.359375
0928022020000,61,14,28.0,28.0,82.0,4.357142857142857,0.5,Lumpy,0.7704918032786885
0928028008000,64,62,1386.0,1386.0,44740.0,1.032258064516129,0.4512584643164446,Smooth,0.03125
0928044008000,55,4,4.0,4.0,4.0,13.75,0.0,Intermittent,0.9272727272727272
0928056004000,64,31,233.0,233.0,4055.0,2.064516129032258,1.3593275494728827,Lumpy,0.515625
0928062003000,64,62,1173.0,1173.0,31701.0,1.032258064516129,0.435485752106276,Smooth,0.03125
0928314005000,63,14,26.0,26.0,112.0,4.5,1.4210286754665453,Lumpy,0.7777777777777778
0928325088000,62,15,16.0,16.0,18.0,4.133333333333334,0.058593750000000014,Intermittent,0.7580645161290323
0928326016000,64,44,276.0,276.0,3440.0,1.4545454545454546,1.0099304914445373,Lumpy,0.3125
0928335036000,63,11,70.0,70.0,706.0,5.7272727272727275,0.6433877551020408,Lumpy,0.8253968253968254
0928335052000,64,59,406.0,406.0,4402.0,1.0847457627118644,0.5855389390165021,Erratic,0.078125
0928340021000,64,47,317.0,317.0,3585.0,1.3617021276595744,0.6914626606329828,Lumpy,0.265625
