demand_type,number_of_skus,total_demand,median_zero_month_share,median_average_demand_interval,sku_share,demand_share
Smooth,904,405940.0,0.0625,1.0666666666666669,0.11175670663864508,0.5367177108647192
Intermittent,6099,119476.0,0.8225806451612903,5.636363636363637,0.7539868957843986,0.15796641184232446
Erratic,396,176046.0,0.09375,1.103448275862069,0.04895537149214983,0.23276101425553125
Lumpy,690,54876.0,0.5370879120879121,2.16025641025641,0.08530102608480652,0.07255486303742506
