sku_id,actual_total,forecast_total,absolute_error,bias,mean_rolling_3m_wmape_percent,actual_positive_months,forecast_positive_months,model_key,model,selection_score
01550M0612A,22.0,47.66888273954392,65.15597018003464,25.66888273954392,100.02621333939689,9,36,xgb_d2_none_log,XGB depth2 unweighted log-size,100.02621333939689
021620616A000,83.0,11.765358264063087,92.00531529814005,-71.23464173593692,104.24809682450987,17,54,xgb_d2_full_log,XGB depth2 full-weight log-size,104.24809682450987
083100012A000,27.0,7.215577570199966,32.67436841607094,-19.784422429800035,101.38081406396465,12,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,101.38081406396465
083161010A000,20.0,18.48880324602127,38.48880324602127,-1.5111967539787288,100.0,8,54,xgb_d2_full_log,XGB depth2 full-weight log-size,100.0
083313124A000,31.0,30.049048521141078,50.412806566792405,-0.9509514788589224,112.37041903213806,19,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,112.37041903213806
0911605023000,34.0,38.582279589014924,65.5199545467451,4.582279589014921,115.25732980262184,10,34,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,115.25732980262184
0911912006XC0,8.0,11.77897191286087,19.77897191286087,3.7789719128608708,100.0,8,36,xgb_d2_none_log,XGB depth2 unweighted log-size,100.0
0911912007000,839.0,36.12341467087919,861.9324510829015,-802.8765853291208,101.27387441529123,47,36,xgb_d2_none_log,XGB depth2 unweighted log-size,101.27387441529123
09136M05078000,37.0,24.10753945312884,59.25497271332023,-12.89246054687116,100.80156237732322,13,36,xgb_d2_none_log,XGB depth2 unweighted log-size,100.80156237732322
0914016023000,47.0,23.66099587879565,64.31226211412516,-23.33900412120435,112.00979446883302,10,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,112.00979446883302
0914806007000,63.0,12.74178021462383,72.14036235750795,-50.25821978537617,103.66351265632497,13,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,103.66351265632497
09148M06022000,26.0,22.951491533830517,46.43958750288995,-3.048508466169482,102.84632003222487,14,36,xgb_d2_none_log,XGB depth2 unweighted log-size,102.84632003222487
0915912024000,33.0,68.03000868993145,101.03000868993145,35.030008689931456,100.0,3,54,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,100.0
0915912051000,51.0,0.8075025379657745,51.26428684592247,-50.192497462034225,99.98951910270586,9,3,xgb_d2_full_log,XGB depth2 full-weight log-size,99.98951910270586
0915912079000,113.0,46.24209342408181,151.36095245575905,-66.75790657591818,132.36842479282976,9,54,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,132.36842479282976
0915912L02000,50.0,26.485493890359635,75.23863547237181,-23.514506109640365,100.00418771495237,14,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,100.00418771495237
0915918022000,190.0,99.26804056668531,214.73583742602779,-90.73195943331469,111.83901684554685,70,72,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,111.83901684554685
0915918024000,15.0,23.121990831312306,33.01871311771656,8.121990831312306,111.34355262686145,8,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,111.34355262686145
0915924009000,39.0,10.809249502539634,45.665297148704525,-28.190750497460364,104.62535760130201,27,54,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,104.62535760130201
0916435003000,75.0,2.4581097746437246,76.15326488349925,-72.54189022535627,100.3648608826899,28,36,xgb_d2_none_log,XGB depth2 unweighted log-size,100.3648608826899
0924130010000,39.0,10.17886075825486,48.3959356702124,-28.82113924174514,100.07852668664893,22,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,100.07852668664893
0928017002000,677.0,256.46110079714816,625.3462887826433,-420.53889920285184,97.41400855318864,103,126,xgb_d2_long_sqrt_log,XGB depth2 long sqrt-weight log-size,97.41400855318864
0928022020000,70.0,4.318053526878357,71.55610611975193,-65.68194647312164,100.74062981144608,40,36,xgb_d2_none_log,XGB depth2 unweighted log-size,100.74062981144608
0928056004000,480.0,160.3031608150752,491.17810954559855,-319.6968391849248,113.88474694462685,72,72,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,113.88474694462685
0928314005000,71.0,15.438786875145013,81.64640263447257,-55.56121312485499,106.290224402507,23,54,xgb_d2_full_log,XGB depth2 full-weight log-size,106.290224402507
0928326016000,339.0,299.55816265682654,346.3415517735046,-39.44183734317345,141.54430937691683,85,144,xgb_d2_none_log,XGB depth2 unweighted log-size,141.54430937691683
0928335036000,180.0,51.959881336000656,228.08177658965894,-128.04011866399935,100.0859309365784,12,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,100.0859309365784
0928340021000,716.0,311.11459684514017,695.5375275088372,-404.88540315485983,109.26584500873133,97,162,xgb_d2_full_log,XGB depth2 full-weight log-size,109.26584500873133
0928340027000,477.0,237.17386484620064,425.0963896788427,-239.82613515379938,110.05347043485662,110,162,xgb_d2_full_log,XGB depth2 full-weight log-size,110.05347043485662
0928345012000,357.0,173.35544407407812,318.9786019723957,-183.64455592592188,93.38056782321317,108,144,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,93.38056782321317
0928906003000,3573.0,1905.8148035337226,3351.917613984345,-1667.1851964662774,104.99258067254253,110,162,xgb_d2_full_log,XGB depth2 full-weight log-size,104.99258067254253
0928948004000,69.0,18.261249619530734,82.4206058520575,-50.73875038046927,103.60149189016798,17,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,103.60149189016798
0930508011000,38.0,27.89477775096893,65.89477775096893,-10.105222249031067,100.0,14,36,xgb_d2_none_log,XGB depth2 unweighted log-size,100.0
0931912047000,600.0,71.56611981391906,660.576852607727,-528.433880186081,100.0816454453781,19,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,100.0816454453781
0932010024000,176.0,86.15906658425612,217.52819073047763,-89.84093341574388,107.86089720448527,35,37,xgb_d2_none_log,XGB depth2 unweighted log-size,107.86089720448527
0938019004000,48.0,64.11075339444406,73.81655720187936,16.110753394444064,127.7971841332878,39,89,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,127.7971841332878
0938168001000,40.0,12.36225489103233,49.044876818514105,-27.637745108967668,105.11136321287833,16,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,105.11136321287833
0940307333000,93.0,54.65874572818219,108.7531637407273,-38.34125427181781,117.7090839788228,52,57,xgb_d2_none_log,XGB depth2 unweighted log-size,117.7090839788228
