model_key,model,valid_sku_count,median_sku_rolling_wmape,p75_sku_rolling_wmape,under_70_skus,under_100_skus,portfolio_horizon_wmape,actual_total,forecast_total,bias_pct,selection_objective
xgb_d2_full_log,XGB depth2 full-weight log-size,687,106.99050709743895,120.70029845494592,1,121,116.18212367814701,76517.0,68811.42590246948,-10.07040801067805,98.94088817113494
xgb_d2_sqrt_log,XGB depth2 sqrt-weight log-size,687,107.72457637975913,121.55050419408826,1,116,117.15084391979082,76517.0,69534.53655035833,-9.125375340959092,99.4634955626731
xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,687,107.7018276954952,122.7236753474977,1,108,116.81369199276739,76517.0,69273.13456212582,-9.46700136946584,99.57465171600998
xgb_d2_long_sqrt_log,XGB depth2 long sqrt-weight log-size,687,107.61754793427885,121.08975295606372,1,117,116.87052083163884,76517.0,67759.7293157302,-11.444869354875118,99.77203126119565
xgb_d2_none_log,XGB depth2 unweighted log-size,687,106.29419979639351,119.10146178729413,0,97,116.27746508327363,76517.0,62440.11748917999,-18.397065372165677,100.40380494905891
xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,687,105.52206271742594,118.0709856473476,1,104,119.81807264798037,76517.0,65215.63301463837,-14.76974657312967,100.61768870047625
xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,687,107.53762062233427,120.41414474913653,0,99,123.0202049526363,76517.0,60888.8950625038,-20.424356597221795,104.1269701145002
