candidate_id,positive_cases,under_50,under_70,under_100,median_wmape,portfolio_wmape,actual_total,forecast_total,pct_below_50,pct_below_70,pct_below_100,bias_pct
Consolidated segment champions champions,597,59,197,372,82.64144529680698,86.75214658590264,8923.0,5648.545649636166,9.882747068676716,32.99832495812395,62.311557788944725,-36.69678751948711
Selective historical calibration calibrated challenger,597,51,194,377,82.26615389027462,86.42355163783787,8923.0,5259.1609023338715,8.542713567839195,32.49581239530988,63.14907872696818,-41.06061972056627
Selective historical calibration selective recommendation,597,63,206,372,82.78637071394476,85.58174367544368,8923.0,5891.455552315211,10.552763819095478,34.505862646566165,62.311557788944725,-33.97449790075971
