sku_id,actual_total,forecast_total,absolute_error,wmape,strategy
0911605023000,1.0,11.34,10.34,1034.0,Notebook 13 incumbent
09136M05078000,6.0,9.5,13.5,225.0,Notebook 13 incumbent
0914016023000,0.0,5.751,5.751,,Notebook 13 incumbent
35702M76T00000,30.0,6.593481063842773,23.406518936157227,78.02172978719075,Notebook 13 incumbent
38452M56R30000,21.0,6.958033859729767,14.596291482448578,69.5061499164218,Notebook 13 incumbent
38500M55T01000,39.0,5.651162790697676,33.348837209302324,85.50983899821108,Notebook 13 incumbent
4321080S6027N,1.0,5.007272727272728,4.338181818181819,433.81818181818187,Notebook 13 incumbent
43210M62S620CB,41.0,11.834018588066101,29.1659814119339,71.13654002910707,Notebook 13 incumbent
7173263T00000,15.0,1.0,14.0,93.33333333333333,Notebook 13 incumbent
7174050U10CUG,1.0,10.0,11.0,1100.0,Notebook 13 incumbent
7174063T00EJ1,10.0,6.964743256568909,7.099416494369507,70.99416494369507,Notebook 13 incumbent
71750M55T30C48,56.0,13.50286066532135,42.49713933467865,75.88774881192616,Notebook 13 incumbent
71761M55T105PK,70.0,13.187484860420227,56.81251513957977,81.16073591368539,Notebook 13 incumbent
7361052R005PK,1.0,20.0,21.0,2100.0,Notebook 13 incumbent
77141M55T000CB,15.0,6.346564888954163,8.653435111045837,57.68956740697225,Notebook 13 incumbent
77221M55T00799,46.0,18.083150148391724,27.916849851608276,60.688804025235385,Notebook 13 incumbent
81810M55T01000,44.0,13.712239742279053,30.287760257720947,68.83581876754761,Notebook 13 incumbent
82110M55T10000,41.0,10.274034023284912,30.725965976715088,74.9413804310124,Notebook 13 incumbent
8313063JC0C48,4.0,1.0,5.0,125.0,Notebook 13 incumbent
83940M55T010PG,105.0,16.142977952957153,88.85702204704285,84.62573528289795,Notebook 13 incumbent
83970M55T00000,14.0,0.5,13.5,96.42857142857143,Notebook 13 incumbent
8470178R005PK,0.0,1.0,1.0,,Notebook 13 incumbent
84701M55TG0ZHJ,39.0,9.379018783569336,29.620981216430664,75.95123388828375,Notebook 13 incumbent
84730M55T00000,25.0,18.849117755889893,11.3560791015625,45.42431640625,Notebook 13 incumbent
84730M76T00000,3.0,7.562240663900415,4.562240663900415,152.07468879668048,Notebook 13 incumbent
84740M76T00000,7.0,8.549743890762329,7.495848894119263,107.08355563027519,Notebook 13 incumbent
0911605023000,1.0,14.840396052673764,13.840396052673764,1384.0396052673764,Notebook 37 locked challenger
09136M05078000,6.0,15.75823267340097,14.928538288860226,248.8089714810038,Notebook 37 locked challenger
0914016023000,0.0,10.94158031504299,10.94158031504299,,Notebook 37 locked challenger
35702M76T00000,30.0,12.012545213698468,18.33270109141662,61.1090036380554,Notebook 37 locked challenger
38452M56R30000,21.0,14.18688077296952,10.841089685600846,51.624236598099266,Notebook 37 locked challenger
38500M55T01000,39.0,12.316119886679498,26.769974928829193,68.6409613559723,Notebook 37 locked challenger
4321080S6027N,1.0,9.936911176625626,8.936911176625626,893.6911176625626,Notebook 37 locked challenger
43210M62S620CB,41.0,15.592714126480399,25.4072858735196,61.96898993541366,Notebook 37 locked challenger
7173263T00000,15.0,12.070141613432352,10.913216162029885,72.75477441353256,Notebook 37 locked challenger
7174050U10CUG,1.0,17.62068489733914,16.62068489733914,1662.0684897339138,Notebook 37 locked challenger
7174063T00EJ1,10.0,11.9329659488622,6.28589106527734,62.858910652773396,Notebook 37 locked challenger
71750M55T30C48,56.0,16.645238311824365,39.354761688175635,70.2763601574565,Notebook 37 locked challenger
71761M55T105PK,70.0,16.483446764131948,54.65978416042154,78.08540594345935,Notebook 37 locked challenger
7361052R005PK,1.0,22.37765121947484,21.37765121947484,2137.7651219474837,Notebook 37 locked challenger
77141M55T000CB,15.0,11.65314339682137,3.5514643452893493,23.676428968595662,Notebook 37 locked challenger
77221M55T00799,46.0,20.156285608210773,25.9149903602178,56.336935565690865,Notebook 37 locked challenger
81810M55T01000,44.0,19.038877653122515,24.961122346877485,56.72982351563064,Notebook 37 locked challenger
82110M55T10000,41.0,16.586958009377998,24.413041990622002,59.54400485517561,Notebook 37 locked challenger
8313063JC0C48,4.0,11.506424404563326,11.910961442726288,297.7740360681572,Notebook 37 locked challenger
83940M55T010PG,105.0,18.74627453253909,86.25372546746091,82.14640520710563,Notebook 37 locked challenger
83970M55T00000,14.0,11.433082798917168,9.52622986562351,68.04449904016793,Notebook 37 locked challenger
8470178R005PK,0.0,11.014199751524522,11.014199751524522,,Notebook 37 locked challenger
84701M55TG0ZHJ,39.0,13.89339169844662,25.10660830155338,64.37591872193174,Notebook 37 locked challenger
84730M55T00000,25.0,20.565743362343106,12.429229525538215,49.71691810215286,Notebook 37 locked challenger
84730M76T00000,3.0,12.90734853669808,9.90734853669808,330.2449512232693,Notebook 37 locked challenger
84740M76T00000,7.0,13.035004153296624,10.268050660322292,146.68643800460418,Notebook 37 locked challenger
