candidate_id,positive_cases,under_50,under_70,under_100,median_wmape,portfolio_wmape,actual_total,forecast_total,pct_below_50,pct_below_70,pct_below_100,bias_pct
Notebook 13 incumbent,24,1,5,16,82.89323559829167,85.95780550343268,635.0,238.6891456619085,4.166666666666667,20.833333333333332,66.66666666666667,-62.41115816347898
Notebook 37 locked challenger,24,2,12,16,69.4586607567144,84.16810066137654,635.0,383.2522428784972,8.333333333333334,50.0,66.66666666666667,-39.64531608212643
