sku_id,probability_below_70,confidence_band,cohort
71711M79G105PK,0.37313660364862944,medium,recurring_a
71712M60MA05PK,0.20199161263150361,low,recurring_a
71731M60M00000,0.37223722436536344,medium,recurring_a
7173277M10000,0.2317525604793754,low,recurring_a
7174173K005PK,0.38044995069705795,medium,recurring_a
71741M66L005PK,0.3322692558632044,low,recurring_a
7175173K105PK,0.19938613762604016,low,recurring_a
71751M68K005PK,0.22122612672076647,low,recurring_a
71751M76MB0ZNZ,0.41425043430291875,medium,recurring_a
71751M79G10000,0.3720706302818701,medium,recurring_a
7176173K105PK,0.20207166376447028,low,recurring_a
71761M68K005PK,0.3720706302818701,medium,recurring_a
71781M66L00000,0.22856551712323583,low,recurring_a
7179086R10C48,0.4021198618426747,medium,recurring_a
7181180J20799,0.3726406087489544,medium,recurring_a
71811M79G005PK,0.3720706302818701,medium,recurring_a
71813M66L00000,0.3720706302818701,medium,recurring_a
7182163J00000,0.3639035814440094,medium,recurring_a
7185160G00000,0.6003945443747012,medium,recurring_a
7185261J01000,0.3720706302818701,medium,recurring_a
72221M56R005PK,0.3726406087489544,medium,recurring_a
72311M68P01000,0.19258290909673864,low,recurring_a
7232353R00000,0.33249493720128326,low,recurring_a
72372M74L105PK,0.20088723768639105,low,recurring_a
7243179M00000,0.23177362759672657,low,recurring_a
7246079P00000,0.33249493720128326,low,recurring_a
72460M60M00000,0.22023335101709743,low,recurring_a
72520M68P02000,0.3560322816737689,medium,recurring_a
73310M68P61C8J,0.36993560908176004,medium,recurring_a
73310M68P61GJL,0.4365003096861876,medium,recurring_a
73610M68P00C48,0.37313660364862944,medium,recurring_a
73841M68P60C8J,0.3720706302818701,medium,recurring_a
73841M68P60GJL,0.36993560908176004,medium,recurring_a
73910M68P01000,0.3720706302818701,medium,recurring_a
74120M79G00000,0.3720706302818701,medium,recurring_a
74461M74L00V6N,0.26623642978931317,low,recurring_a
74461M76M00000,0.31856294653465406,low,recurring_a
75430M76M00000,0.23470621949539971,low,recurring_a
7666179P005PK,0.2373077779722634,low,recurring_a
77230M75L000PG,0.3726406087489544,medium,recurring_a
7755078K000PG,0.1608935267437903,low,recurring_a
7758064J10Z2S,0.244404274345976,low,recurring_a
7781163J200PG,0.47060680876091826,medium,recurring_a
77811M58J100PG,0.37313660364862944,medium,recurring_a
77831M80EC00PG,0.33249493720128326,low,recurring_a
