sku_id,actual_total,forecast_total,absolute_error,mean_absolute_error,block_naive_scale,wmape,mase,cohort
0915912L02000,1.0,2.319031238555908,3.319031238555908,0.5531718730926514,1.1428571428571428,331.9031238555908,0.48402538895606995,rare_a
0928335036000,0.0,5.505874633789063,5.505874633789063,0.9176457722981772,4.857142857142857,,0.1889270707672718,rare_a
0931912047000,20.0,11.558008193969728,11.558008193969728,1.9263346989949548,14.857142857142858,57.79004096984865,0.1296571432015835,rare_a
0940915304000,27.0,4.101346015930176,29.101346015930176,4.850224335988362,3.571428571428572,107.78276302196362,1.3580628140767412,rare_a
2818060B00000,0.0,1.6570155620574951,1.6570155620574951,0.27616926034291583,1.5714285714285714,,0.1757440747636737,rare_a
36410M60B30000,0.0,4.707847595214844,4.707847595214844,0.7846412658691406,1.7142857142857142,,0.45770740509033203,rare_a
36430M76M00000,6.0,1.8238530158996584,4.176146984100342,0.696024497350057,1.7142857142857142,69.60244973500569,0.4060142901208666,rare_a
43250M53M0027N,0.0,7.935967445373535,7.935967445373535,1.3226612408955891,5.142857142857143,,0.2571841301741423,rare_a
48150M68P00C48,1.0,5.158948421478272,4.158948421478272,0.6931580702463788,2.7142857142857144,415.89484214782726,0.25537402588024477,rare_a
48150M79M11C48,1.0,3.0381736755371094,2.0381736755371094,0.33969561258951825,3.0,203.81736755371094,0.11323187086317275,rare_a
7148176J00000,0.0,5.594310283660889,5.594310283660889,0.9323850472768148,1.4285714285714286,,0.6526695330937704,rare_a
7171181A405PK,3.0,5.69420337677002,2.6942033767700204,0.4490338961283367,1.5714285714285714,89.80677922566736,0.28574884299075975,rare_a
7175160B00000,0.0,4.5776472091674805,4.5776472091674805,0.7629412015279134,1.4285714285714286,,0.5340588410695394,rare_a
7175260B00000,0.0,4.5776472091674805,4.5776472091674805,0.7629412015279134,1.4285714285714286,,0.5340588410695394,rare_a
7175360B00000,0.0,5.593317031860352,5.593317031860352,0.9322195053100586,2.857142857142857,,0.3262768268585205,rare_a
7211254GB0Z2S,0.0,1.8599436283111568,1.8599436283111568,0.30999060471852613,2.0,,0.15499530235926307,rare_a
7361075H015PK,0.0,8.901638984680176,8.901638984680176,1.483606497446696,8.285714285714286,,0.17905595658839432,rare_a
81850M67P00000,1.0,1.636500120162964,2.636500120162964,0.43941668669382733,1.7142857142857142,263.6500120162964,0.25632640057139927,rare_a
8285081A125PK,1.0,5.594310283660889,6.594310283660889,1.0990517139434814,1.4285714285714286,659.4310283660889,0.769336199760437,rare_a
8381065A00000,0.0,5.594310283660889,5.594310283660889,0.9323850472768148,1.4285714285714286,,0.6526695330937704,rare_a
8382065A00000,0.0,5.594310283660889,5.594310283660889,0.9323850472768148,1.4285714285714286,,0.6526695330937704,rare_a
84701M67P30000,2.0,1.8608314990997317,3.8608314990997314,0.643471916516622,2.142857142857143,193.04157495498657,0.3002868943744236,rare_a
09409073255PK,9.0,6.25,15.25,2.5416666666666665,0.0,169.44444444444446,,rare_b
1770080J00000,0.0,5.0,5.0,0.8333333333333334,0.0,,,rare_b
2961081A00000,12.0,6.25,18.25,3.0416666666666665,0.0,152.08333333333334,,rare_b
43210M62S0009L,0.0,5.625,5.625,0.9375,0.0,,,rare_b
48150M53M10C48,0.0,3.75,3.75,0.625,0.0,,,rare_b
7170059810T2G,0.0,5.0,5.0,0.8333333333333334,0.0,,,rare_b
7171284A20W07,0.0,8.75,8.75,1.4583333333333333,0.0,,,rare_b
7615181A01T01,0.0,10.0,10.0,1.6666666666666667,0.0,,,rare_b
81860M67P00000,1.0,3.75,4.75,0.7916666666666666,0.0,475.0,,rare_b
8220061870000,0.0,5.0,5.0,0.8333333333333334,0.0,,,rare_b
8296060G00T01,0.0,8.75,8.75,1.4583333333333333,0.0,,,rare_b
09148M06022000,1.0,6.25,5.25,0.875,0.0,525.0,,rare_c
1194152R00000,0.0,3.75,3.75,0.625,0.0,,,rare_c
1591063A0V000,0.0,2.5,2.5,0.4166666666666667,0.0,,,rare_c
2824178K00000,2.0,4.375,6.375,1.0625,0.0,318.75,,rare_c
35750M68P20000,1.0,2.5,1.5,0.25,0.0,150.0,,rare_c
4311078K00000,1.0,1.25,2.25,0.375,0.0,225.0,,rare_c
4321078K6027N,2.0,1.25,3.25,0.5416666666666666,0.0,162.5,,rare_c
64111M56R01P21,3.0,1.25,1.75,0.2916666666666667,0.0,58.333333333333336,,rare_c
68002M79G01000,4.0,1.25,2.75,0.4583333333333333,0.0,68.75,,rare_c
6910077R14000,5.0,1.25,6.25,1.0416666666666667,0.0,125.0,,rare_c
69430M74L00000,2.0,1.25,3.25,0.5416666666666666,0.0,162.5,,rare_c
71742M53M100CB,6.0,1.25,7.25,1.2083333333333333,0.0,120.83333333333333,,rare_c
71743M53M100CB,16.0,1.25,17.25,2.875,0.0,107.8125,,rare_c
7183263J00000,1.0,1.25,0.25,0.041666666666666664,0.0,25.0,,rare_c
72361M79M00000,8.0,1.25,6.75,1.125,0.0,84.375,,rare_c
7283181A01000,6.0,3.75,9.75,1.625,0.0,162.5,,rare_c
7756178R005PK,7.0,1.25,8.25,1.375,0.0,117.85714285714286,,rare_c
7877361M00000,2.0,1.25,3.25,0.5416666666666666,0.0,162.5,,rare_c
82150M820005ES,3.0,1.25,4.25,0.7083333333333334,0.0,141.66666666666666,,rare_c
83740M62S005PK,0.0,1.25,1.25,0.20833333333333334,0.0,,,rare_c
84641M77G00000,1.0,1.875,2.875,0.4791666666666667,0.0,287.5,,rare_c
8470277A005PK,1.0,1.25,2.25,0.375,0.0,225.0,,rare_c
8470281A215PK,5.0,2.5,7.5,1.25,0.0,150.0,,rare_c
