cohort,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,pct_below_50,pct_below_70,pct_below_100
rare_a,22,10,0,0,3,102.36076201344281,138.16548077125518,0.1446323890797002,140.59609781630056,63.0,36.066305497204894,-42.75189603618271,0.0,0.0,30.0
rare_b,11,3,0,0,0,100.0,100.0,0.0,100.0,22.0,0.0,-100.0,0.0,0.0,0.0
rare_c,23,20,0,3,4,129.16666666666669,162.5,1.1666666666666667,135.06493506493507,77.0,37.0,-51.94805194805195,0.0,15.0,20.0
all_rare,56,33,0,3,7,112.5,150.0,0.20991638888587955,132.45403803967247,162.0,73.0663054972049,-54.897342285676,0.0,9.090909090909092,21.21212121212121
