candidate_id,architecture,training_scope,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct,abs_bias
pooled_transfer__hurdle_d2_full_log__w24__expected__p1.00__t0.00__s1.75__none__b0.00,hurdle,pooled_transfer,35,35,7,13,23,84.68579170252093,118.43309975551762,0.49599271881493645,90.73478569275345,195.0,228.75149686207374,17.308459929268583,17.308459929268583
c_only__recent_6__w24__classical__s1.50,classical,c_only,35,35,7,13,20,83.33333333333333,125.0,0.5049019607843137,120.0,195.0,310.5,59.23076923076923,59.23076923076923
pooled_transfer__recent_6__w24__classical__s1.50,classical,pooled_transfer,35,35,7,13,20,83.33333333333333,125.0,0.5049019607843137,120.0,195.0,310.5,59.23076923076923,59.23076923076923
pooled_transfer__hurdle_d1_sqrt_log__w24__soft__p0.75__t0.00__s1.00__sba__b0.50,hurdle,pooled_transfer,35,35,7,13,19,85.6045113593465,134.3626537280069,0.603007618809186,102.3687052482701,195.0,281.2821054782259,44.24723357857738,44.24723357857738
c_only__sba_a0.50__w24__classical__s1.50,classical,c_only,35,35,7,13,19,96.97802197802199,164.78153575245622,0.7028538013259196,129.3193930627965,195.0,336.6236061591001,72.62749033800007,72.62749033800007
pooled_transfer__sba_a0.50__w24__classical__s1.50,classical,pooled_transfer,35,35,7,13,19,96.97802197802199,164.78153575245622,0.7028538013259196,129.3193930627965,195.0,336.6236061591001,72.62749033800007,72.62749033800007
c_only__recent_3__w24__classical__s0.75,classical,c_only,35,35,6,13,23,81.25,100.0,0.4226190476190476,90.51282051282051,195.0,180.0,-7.6923076923076925,7.6923076923076925
pooled_transfer__recent_3__w24__classical__s0.75,classical,pooled_transfer,35,35,6,13,23,81.25,100.0,0.4226190476190476,90.51282051282051,195.0,180.0,-7.6923076923076925,7.6923076923076925
pooled_transfer__hurdle_d2_sqrt_log__w24__soft__p0.50__t0.00__s0.75__none__b0.00,hurdle,pooled_transfer,35,35,10,12,26,81.68316602066392,99.36517117571518,0.4182700364326899,78.91561830261712,195.0,196.90617125767176,0.9775237218829529,0.9775237218829529
pooled_transfer__hurdle_d2_full_log__w24__soft__p0.75__t0.00__s1.25__none__b0.00,hurdle,pooled_transfer,35,35,9,12,27,80.29884591347175,96.34797936538553,0.4382406695526486,81.32276964170619,195.0,203.10249988865903,4.155128148030269,4.155128148030269
