sku_id,actual_total,forecast_total,absolute_error,mean_absolute_error,block_naive_scale,wmape,mase
1161054G30000,5.0,2.1737262523729948,6.310654123103356,1.0517756871838928,2.1,126.21308246206713,0.5008455653256633
11610M79F30000,3.0,0.9195406074467064,3.1403835970210525,0.5233972661701755,3.6923076923076925,104.67945323403508,0.1417534262544225
11620M65L10000,5.0,0.5437966806006905,4.790823836798522,0.7984706394664203,4.75,95.81647673597044,0.16809908199293058
11620M76M00000,13.0,1.9468897945162351,11.962564720075296,1.993760786679216,2.4615384615384617,92.01972861596381,0.8099653195884314
11710M79F70000,6.0,2.1041665194987447,5.934578694348113,0.9890964490580189,2.1818181818181817,98.90964490580188,0.45333587248492535
1776071L00000,4.0,2.354220182789072,3.6947868295476627,0.6157978049246104,1.8461538461538463,92.36967073869157,0.33355714433416395
1793161M10000,6.0,2.402898709212695,5.046060736930716,0.841010122821786,2.3076923076923075,84.1010122821786,0.3644377198894406
1793165D00000,2.0,1.8989294880647167,2.626388073642066,0.43773134560701105,3.1538461538461537,131.3194036821033,0.1387928656802718
3512065J12000,3.0,2.4242885078915934,3.669073932474764,0.6115123220791273,1.3,122.30246441582547,0.47039409390702097
35651M79G40000,4.0,1.729599062062305,4.295114580551105,0.7158524300918508,3.0,107.37786451377762,0.23861747669728361
35750M68P00000,5.0,1.8823869659576495,5.064182988653335,0.8440304981088892,2.1538461538461537,101.2836597730667,0.39187130269341286
3658054P00000,9.0,2.8657204352822587,9.140994344607519,1.5234990574345864,1.2222222222222223,101.56660382897242,1.246499228810116
37736M79M00000,3.0,2.2955153388031078,4.180150510972015,0.6966917518286692,1.9230769230769231,139.33835036573385,0.36227971095090794
3845065J10000,7.0,1.9806927157147545,6.497729236297565,1.0829548727162608,3.076923076923077,92.8247033756795,0.3519603336327847
43110M75J80000-OP,2.0,1.7767814189733433,2.0476204344994366,0.34127007241657276,2.142857142857143,102.38102172497183,0.15925936712773395
4321064J01ZBP,4.0,2.5527020813106143,5.033697288456779,0.8389495480761299,1.1538461538461537,125.84243221141949,0.7270896083326459
65500M75L00000,3.0,2.3560067169700027,2.946136119752757,0.4910226866254595,1.2307692307692308,98.2045373250919,0.3989559328831858
68001M53M50000,5.0,2.1509339606419866,5.215216286025187,0.8692027143375313,2.0,104.30432572050374,0.43460135716876563
7173368L00000,11.0,2.1588049366153776,9.983869978278568,1.6639783297130946,1.7692307692307692,90.76245434798699,0.9405094907074013
71751M50S005PK,10.0,3.3808992626698062,9.608865226824818,1.6014775378041364,1.2307692307692308,96.08865226824818,1.3012004994658608
7176160MB05PK,16.0,3.4885459184532728,13.178809565698971,2.1964682609498287,2.076923076923077,82.36755978561857,1.0575587923091767
71761M75L005PK,4.0,1.9880517086261662,3.8860276248559606,0.6476712708093267,1.9230769230769231,97.15069062139902,0.3367890608208499
71821M60M00000,11.0,2.3884220855327047,9.26245552934517,1.5437425882241949,2.076923076923077,84.20414117586517,0.7432834684042419
72321M79G00000,1.0,1.445724785887188,1.8356566506421765,0.30594277510702944,1.7692307692307692,183.56566506421765,0.17292417723440795
73410M74L105PK,1.0,3.1511349142035483,2.964640277230337,0.49410671287172286,1.1538461538461537,296.4640277230337,0.42822581782215985
76295M53M10P4Z,1.0,1.429494513301737,2.0353525203747256,0.33922542006245426,1.3076923076923077,203.53525203747256,0.2594076741654062
77250M79M100PG,2.0,2.1029103911031255,2.8474395167616655,0.4745732527936109,1.3846153846153846,142.37197583808327,0.3427473492398301
77831M79M000PG,13.0,3.6304396304637505,14.64355751923354,2.4405929198722567,1.3076923076923077,112.6427501479503,1.866335762255255
7784161M00A93,5.0,2.3496341276623047,4.15799732883177,0.692999554805295,1.6153846153846154,83.1599465766354,0.4289997244032778
7822565J105PK,2.0,1.9587101395305373,2.6098998201706323,0.43498330336177204,1.75,130.4949910085316,0.24856188763529832
8285081A225PK,2.0,1.3915362935690214,2.821088818216412,0.47018146970273533,2.6153846153846154,141.0544409108206,0.17977526782751646
83401M55R01000,2.0,1.8878024983920083,2.7821321026174095,0.46368868376956823,0.875,139.10660513087046,0.529929924308078
8381173R00000,1.0,2.7315907557271495,3.292946700788943,0.5488244501314905,1.6153846153846154,329.2946700788943,0.3397484691290179
84511M68K00000,5.0,1.6647329053335431,4.301143032435711,0.7168571720726185,1.6153846153846154,86.02286064871421,0.4437687255687638
84901M56R63HLK,2.0,3.397203944939154,2.59609052999515,0.4326817549991917,1.0,129.80452649975751,0.4326817549991917
