sku_id,actual_total,forecast_total,absolute_error,mean_absolute_error,block_naive_scale,wmape,mase,cohort,probability_below_70,confidence_band
0915918022000,22.0,11.63668668270111,13.92489206790924,2.3208153446515403,6.076923076923077,63.29496394504201,0.38190632253759527,recurring_a,0.3731366036486295,medium
0928017002000,61.0,26.02058982849121,43.16404342651367,7.194007237752278,15.76923076923077,70.76072692871094,0.4562053370281932,recurring_a,0.3163842418460804,low
0928056004000,30.0,17.275017499923706,25.099493741989136,4.183248956998189,17.307692307692307,83.66497913996379,0.24169882862656206,recurring_a,0.2757184820205322,low
0928326016000,31.0,13.133656859397888,22.724788308143616,3.787464718023936,11.307692307692308,73.30576873594715,0.3349458594170827,recurring_a,0.5480990814280998,medium
0928340021000,93.0,20.42315411567688,72.57684588432312,12.09614098072052,11.23076923076923,78.03961923045497,1.0770536489682656,recurring_a,0.4747619967587914,medium
0928340027000,49.0,16.296767950057983,37.170660734176636,6.195110122362773,7.615384615384615,75.85849129423804,0.8134993089971319,recurring_a,0.462083839316855,medium
0928345012000,34.0,11.86211133003235,23.956408977508545,3.9927348295847573,5.230769230769231,70.4600264044369,0.763316952714733,recurring_a,0.37753687387942997,medium
0928906003000,580.0,88.80446147918701,491.195538520813,81.86592308680217,50.92307692307692,84.68888595186431,1.607638973003668,recurring_a,0.29796995205670423,low
0932010024000,44.0,18.487101793289185,37.93015742301941,6.321692903836568,6.769230769230769,86.20490323413502,0.9338864517031293,recurring_a,0.2140713444057645,low
09403M07311000,28.0,9.126503109931946,22.433646321296692,3.7389410535494485,5.230769230769231,80.12016543320247,0.7147975543550417,recurring_a,0.3302992380963264,low
0940907332000,14.0,61.452260971069336,47.452260971069336,7.90871016184489,56.76923076923077,338.9447212219238,0.13931332263412408,recurring_a,0.26177144668374086,low
0940908327000,81.0,59.780640602111816,47.44161891937256,7.906936486562093,35.07692307692308,58.56989990045995,0.22541704895900702,recurring_a,0.24630886777089833,low
09409M07L025PK,1.0,69.95625400543213,68.95625400543213,11.492709000905355,39.91666666666666,6895.625400543213,0.28791755325858936,recurring_a,0.2907229430338275,low
09409M15L01000,176.0,66.90536212921143,136.26156902313232,22.71026150385539,65.15384615384616,77.42134603587064,0.34856363583249117,recurring_a,0.27943180719224703,low
0947112236000,0.0,17.346285581588745,17.346285581588745,2.8910475969314575,1.875,,1.5418920516967773,recurring_a,0.40422314761058575,medium
09471M12182000,6.0,13.609522819519043,13.885379791259766,2.314229965209961,4.461538461538462,231.4229965209961,0.5187067163401636,recurring_a,0.5726328941390196,medium
11610M65L00000,8.0,12.2973952293396,8.029422283172607,1.3382370471954346,6.769230769230769,100.36777853965759,0.19769410924478012,recurring_a,0.4563558193791922,medium
11610M67P10000,13.0,11.005733013153076,9.319290399551392,1.5532150665918987,4.230769230769231,71.68684922731839,0.3671235611944488,recurring_a,0.25381153773722837,low
11610M76M00000,13.0,8.413567185401917,5.663844704627991,0.9439741174379984,2.8461538461538463,43.56803618944608,0.33166658180254,recurring_a,0.23253976241022917,low
11610M79G50000,3.0,8.655292391777039,6.669300436973572,1.1115500728289287,7.3076923076923075,222.31001456578574,0.1521068520713271,recurring_a,0.29244324358741086,low
11620M79F40000,4.0,8.19502055644989,6.442537188529968,1.0737561980883281,6.538461538461538,161.0634297132492,0.1642215361782149,recurring_a,0.33425599792582766,low
11710M65L00000,5.0,13.020212173461916,9.212619781494142,1.5354366302490237,4.0,184.25239562988287,0.3838591575622559,recurring_a,0.2627690666870926,low
11710M76M00000,19.0,11.548252701759338,10.01848828792572,1.66974804798762,5.076923076923077,52.72888572592484,0.3288897670278646,recurring_a,0.3726406087489544,medium
11710M79F80000,4.0,8.209866642951965,5.127681374549866,0.8546135624249777,3.583333333333333,128.19203436374664,0.23849680811859844,recurring_a,0.33249493720128326,low
1428180JA0000,20.0,13.635109663009644,11.239925622940063,1.8733209371566772,5.307692307692308,56.19962811470032,0.3529445243918377,recurring_a,0.3731366036486295,medium
15910M79GB1000,10.0,12.686164021492004,10.401149153709412,1.7335248589515686,6.230769230769231,104.01149153709412,0.27822003909099247,recurring_a,0.39135620047071384,medium
17700M60M00000,4.0,10.016665935516357,6.016665935516357,1.0027776559193928,7.769230769230769,150.41664838790894,0.12907039135596146,recurring_a,0.19695144557663855,low
17700M67L00000,9.0,11.411490440368652,8.589213371276855,1.4315355618794758,5.6923076923076925,95.4357041252984,0.25148597708693493,recurring_a,0.3694598755638678,medium
17700M67P00000,16.0,12.056416988372803,8.504793643951416,1.417465607325236,4.0,53.15496027469635,0.354366401831309,recurring_a,0.250535726077134,low
