cohort,source,accepted,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,p75_wmape,median_mase,portfolio_wmape,actual_total,forecast_total,bias_pct
recurring_a,layered_challenger,False,215,213,44,109,157,69.09752090771993,101.22397570648837,0.441999994472904,81.24101714279335,4299.0,3810.6023231685676,-11.360727537367582
recurring_a,notebook_14_incumbent,True,215,213,36,111,178,68.570867744652,82.60614701679775,0.34380240616975005,76.72720992806401,4299.0,2707.362456679344,-37.02343669040837
recurring_b,layered_challenger,True,110,110,16,43,74,75.97258422223003,104.31724284543566,0.5176672824494263,82.1475325908256,1023.0,776.3557917929551,-24.10989327537096
recurring_b,notebook_14_incumbent,False,110,110,14,40,80,78.25474802185508,102.9582195196833,0.3246272141345635,82.07704202287475,1023.0,603.7986783385277,-40.97764630121919
