sku_id,model_key,model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,horizon_wmape_percent,mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,median_occurrence_probability,mean_probability_threshold,feature_count,fit_status,wmape_valid,selection_score
01550M0612A,croston_hist_gate_probsize,Croston HistGB gated probability size,9,162,22.0,97.7459511872373,110.04307079973576,75.7459511872373,500.19577636243525,103.09737831402366,100.0,25,9,18,18,0.08690577010106781,0.8000000000000002,799,fit_hist_gradient_boosting,True,103.09737831402366
01550M0612A,croston_rf_gate_probsize,Croston Random Forest gated probability size,9,162,22.0,46.59688626095395,63.889088609007985,24.596886260953948,290.40494822276355,100.11299862354373,100.0,25,9,18,18,0.13292955371966686,0.8000000000000002,799,fit_random_forest,True,100.11299862354373
01550M0612A,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,9,162,22.0,179.13518470525742,185.29069513082504,157.13518470525742,842.2304324128411,214.1587998526437,199.49706196784973,25,9,162,90,0.06656450778245926,0.0,799,fit_xgboost,True,214.1587998526437
01550M0612A,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,22.0,29.59648597240448,48.537946820259094,7.59648597240448,220.6270310011777,100.21909281185695,100.0,25,9,18,18,0.06656450778245926,0.6888888888888889,799,fit_xgboost,True,100.21909281185695
01550M0612A,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,9,162,22.0,420.9427680969238,414.9427680969238,398.9427680969238,1886.1034913496537,115.91356222970145,100.0,25,9,18,18,0.06656450778245926,0.8000000000000002,799,fit_xgboost,True,115.91356222970145
01550M0612A,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,22.0,29.052629590034485,47.962079644203186,7.052629590034485,218.0094529281963,100.27089732033866,100.0,25,9,18,18,0.06883946806192398,0.7333333333333333,799,fit_xgboost,True,100.27089732033866
021620616A000,croston_hist_gate_probsize,Croston HistGB gated probability size,9,162,83.0,15.558233370834392,95.74343801206751,-67.44176662916561,115.3535397735753,104.8979710447468,100.0,46,17,18,4,0.08619691482172973,0.8000000000000002,799,fit_hist_gradient_boosting,True,104.8979710447468
021620616A000,croston_rf_gate_probsize,Croston Random Forest gated probability size,9,162,83.0,17.214157644417995,96.1395061398745,-65.785842355582,115.83073028900543,106.59752269190105,100.0,46,17,18,6,0.15211017325741796,0.8000000000000002,799,fit_random_forest,True,106.59752269190105
021620616A000,croston_xgb_d2_expected,Croston XGBoost depth2 expected value,9,162,83.0,45.28101408481598,118.60534092783928,-37.71898591518402,142.89800111787864,111.3405091167422,104.22877098123232,46,17,162,0,0.08362312614917755,0.0,799,fit_xgboost,True,111.3405091167422
021620616A000,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,83.0,6.252198487520218,87.92588797211647,-76.74780151247978,105.93480478568249,102.46331539490949,100.0,46,17,18,0,0.08362312614917755,0.6888888888888889,799,fit_xgboost,True,102.46331539490949
021620616A000,croston_xgb_d2_gate_size,Croston XGBoost depth2 gated size,9,162,83.0,71.49814796447754,144.5539093017578,-11.501852035522461,174.16133650814194,167.55024730295375,100.0,46,17,18,18,0.08362312614917755,0.8000000000000002,799,fit_xgboost,True,167.55024730295375
