sku_id,candidate_source,candidate_model,mean_rolling_3m_wmape_percent,fair08_source,fair08_model,fair08_mean_rolling_3m_wmape_percent,delta_09_champion_minus_08
4321052S0039M,08_fair_champion,Direct Hist Gradient Squared,94.4363822507113,07_clean_regression,Direct Hist Gradient Squared,94.4363822507113,0.0
4321053R100CE,08_fair_champion,SBA Croston,95.37001582040004,06_intermittent_tournament,SBA Croston,95.37001582040004,0.0
4321057M100BK,08_fair_champion,Hurdle Random Forest,95.26826862216969,06_intermittent_tournament,Hurdle Random Forest,95.26826862216969,0.0
4321061J01ZBP,09_croston_ml_hybrid,Croston Random Forest gated probability size,101.80237635236553,07_clean_regression,Direct Extra Trees log1p,114.51431414640948,-12.711937794043948
4321064J01ZBP,08_fair_champion,Hurdle Random Forest threshold 0.35,100.14249689687036,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.14249689687036,0.0
4321068LA0ZA8,09_croston_ml_hybrid,Croston XGBoost depth2 expected value,87.16517461062986,06_intermittent_tournament,SBA Croston,87.24794616940827,-0.08277155877840414
4321071L91QC8,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
4321078K6027N,08_fair_champion,Hurdle Random Forest threshold 0.35,104.97781606551922,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,104.97781606551922,0.0
4321079K510BK,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,103.13318997473266,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,114.1587967626814,-11.025606787948746
4321080S6027N,09_croston_ml_hybrid,Croston HistGB gated probability size,99.91648926357578,06_intermittent_tournament,SBA Croston,101.72176308539946,-1.8052738218236755
43210M55R6027N,08_fair_champion,SBA Croston,100.96618006838716,06_intermittent_tournament,SBA Croston,100.96618006838716,0.0
43210M55RH1QC8,08_fair_champion,SBA Croston,96.93575661353955,06_intermittent_tournament,SBA Croston,96.93575661353955,0.0
43210M62S0009L,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
