sku_id,candidate_source,candidate_model,mean_rolling_3m_wmape_percent,fair08_source,fair08_model,fair08_mean_rolling_3m_wmape_percent,delta_09_champion_minus_08
17861M68P00000,09_croston_ml_hybrid,Croston XGBoost depth2 expected value,94.53135375712205,07_clean_regression,Direct Extra Trees log1p,94.82611568889232,-0.29476193177026744
1787880G00000,09_croston_ml_hybrid,Croston HistGB gated probability size,102.41503032148927,08_tuned_capped_full_coverage,Hurdle XGBoost threshold 0.30,105.45321949535912,-3.0381891738698528
17878M74L00000,08_fair_champion,SBA Croston,86.0367604528325,06_intermittent_tournament,SBA Croston,86.0367604528325,0.0
17920M76M00000,08_fair_champion,SBA Croston,91.69569043118273,06_intermittent_tournament,SBA Croston,91.69569043118273,0.0
1793160A10000,08_fair_champion,Hurdle XGBoost threshold 0.30,99.6278698988901,08_tuned_capped_full_coverage,Hurdle XGBoost threshold 0.30,99.6278698988901,0.0
1793161M10000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,102.32906644044841,06_intermittent_tournament,SBA Croston,121.05036018100564,-18.72129374055723
1793163J01000,08_fair_champion,SBA Croston,108.03488864150684,06_intermittent_tournament,SBA Croston,108.03488864150684,0.0
1793165D00000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,104.56683231203743,06_intermittent_tournament,SBA Croston,138.53403084837936,-33.967198536341925
1793168P00000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
17931M71P00000,08_fair_champion,SBA Croston,89.25852198203832,06_intermittent_tournament,SBA Croston,89.25852198203832,0.0
1793276G00000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,103.49428100842182,06_intermittent_tournament,SBA Croston,105.91451034055856,-2.420229332136742
2371081A40000,08_fair_champion,Hurdle Random Forest,100.0,06_intermittent_tournament,Hurdle Random Forest,100.0,0.0
27431M79F00000,08_fair_champion,SBA Croston,95.07766689898178,06_intermittent_tournament,SBA Croston,95.07766689898178,0.0
2811380J015PK,08_fair_champion,Direct Extra Trees log1p,98.1123634327877,07_clean_regression,Direct Extra Trees log1p,98.1123634327877,0.0
28113M62S015PK,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
2818060B00000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
2818084A20000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,103.71819019769177,06_intermittent_tournament,SBA Croston,121.96390917834589,-18.245718980654118
2824178K00000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,123.98071178170137,06_intermittent_tournament,SBA Croston,172.02635747335077,-48.0456456916494
28300M55R42000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,104.67308178130122,06_intermittent_tournament,SBA Croston,120.3104332070256,-15.637351425724376
2961081A00000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
33690M60M00000,08_fair_champion,SBA Croston,90.1644029589774,06_intermittent_tournament,SBA Croston,90.1644029589774,0.0
3495561M00000,08_fair_champion,Hurdle Random Forest threshold 0.35,92.6735601335098,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,92.6735601335098,0.0
3512052R21000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,100.97136516809464,06_intermittent_tournament,SBA Croston,104.42304400200068,-3.451678833906044
3512052S10000,08_fair_champion,Direct Random Forest,70.53696265435858,07_clean_regression,Direct Random Forest,70.53696265435858,0.0
3512062R60000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,101.8509271648503,06_intermittent_tournament,SBA Croston,116.90064875127804,-15.049721586427736
3512065J12000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
3512080G21000,08_fair_champion,SBA Croston,102.24121779013876,06_intermittent_tournament,SBA Croston,102.24121779013876,0.0
3512150A30000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,101.58855370112829,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,104.30475059790882,-2.716196896780531
35121M66L10000,08_fair_champion,SBA Croston,99.24022441039536,06_intermittent_tournament,SBA Croston,99.24022441039536,0.0
35121M73T10000,08_fair_champion,XGBoost Tweedie depth2 reg10,96.73834703657428,08_tuned_capped_full_coverage,XGBoost Tweedie depth2 reg10,96.73834703657428,0.0
