sku_id,actual_total,forecast_total,absolute_error,wmape,strategy
0911605023000,1.0,14.840396052673764,13.840396052673764,1384.0396052673764,Developing-SKU model route incumbent
09136M05078000,6.0,15.758232673400972,14.928538288860226,248.8089714810038,Developing-SKU model route incumbent
0914016023000,0.0,10.941580315042987,10.941580315042987,,Developing-SKU model route incumbent
35702M76T00000,30.0,12.01254521369847,18.332701091416624,61.10900363805542,Developing-SKU model route incumbent
38452M56R30000,21.0,14.186880772969518,10.841089685600847,51.62423659809927,Developing-SKU model route incumbent
38500M55T01000,39.0,12.316119886679498,26.769974928829193,68.6409613559723,Developing-SKU model route incumbent
4321080S6027N,1.0,9.936911176625625,8.936911176625625,893.6911176625624,Developing-SKU model route incumbent
43210M62S620CB,41.0,15.592714126480399,25.4072858735196,61.96898993541366,Developing-SKU model route incumbent
7173263T00000,15.0,12.070141613432352,10.913216162029885,72.75477441353256,Developing-SKU model route incumbent
7174050U10CUG,1.0,17.62068489733914,16.62068489733914,1662.0684897339138,Developing-SKU model route incumbent
7174063T00EJ1,10.0,11.9329659488622,6.28589106527734,62.858910652773396,Developing-SKU model route incumbent
71750M55T30C48,56.0,16.645238311824365,39.354761688175635,70.2763601574565,Developing-SKU model route incumbent
71761M55T105PK,70.0,16.483446764131948,54.65978416042154,78.08540594345935,Developing-SKU model route incumbent
7361052R005PK,1.0,22.37765121947484,21.37765121947484,2137.7651219474837,Developing-SKU model route incumbent
77141M55T000CB,15.0,11.65314339682137,3.55146434528935,23.676428968595665,Developing-SKU model route incumbent
77221M55T00799,46.0,20.156285608210773,25.9149903602178,56.336935565690865,Developing-SKU model route incumbent
81810M55T01000,44.0,19.038877653122515,24.961122346877485,56.72982351563064,Developing-SKU model route incumbent
82110M55T10000,41.0,16.586958009377998,24.413041990622002,59.54400485517561,Developing-SKU model route incumbent
8313063JC0C48,4.0,11.506424404563326,11.910961442726288,297.7740360681572,Developing-SKU model route incumbent
83940M55T010PG,105.0,18.74627453253909,86.25372546746091,82.14640520710563,Developing-SKU model route incumbent
83970M55T00000,14.0,11.433082798917168,9.52622986562351,68.04449904016793,Developing-SKU model route incumbent
8470178R005PK,0.0,11.014199751524522,11.014199751524522,,Developing-SKU model route incumbent
84701M55TG0ZHJ,39.0,13.89339169844662,25.10660830155338,64.37591872193174,Developing-SKU model route incumbent
84730M55T00000,25.0,20.565743362343106,12.429229525538217,49.71691810215287,Developing-SKU model route incumbent
84730M76T00000,3.0,12.90734853669808,9.90734853669808,330.2449512232693,Developing-SKU model route incumbent
84740M76T00000,7.0,13.035004153296626,10.268050660322293,146.6864380046042,Developing-SKU model route incumbent
0911605023000,1.0,14.840396052673764,13.840396052673764,1384.0396052673764,Developing high-volume routing locked challenger
09136M05078000,6.0,15.75823267340097,14.928538288860226,248.8089714810038,Developing high-volume routing locked challenger
0914016023000,0.0,10.94158031504299,10.94158031504299,,Developing high-volume routing locked challenger
35702M76T00000,30.0,12.012545213698468,18.33270109141662,61.1090036380554,Developing high-volume routing locked challenger
38452M56R30000,21.0,14.18688077296952,10.841089685600846,51.624236598099266,Developing high-volume routing locked challenger
38500M55T01000,39.0,12.316119886679498,26.769974928829193,68.6409613559723,Developing high-volume routing locked challenger
4321080S6027N,1.0,9.936911176625626,8.936911176625626,893.6911176625626,Developing high-volume routing locked challenger
43210M62S620CB,41.0,15.592714126480399,25.4072858735196,61.96898993541366,Developing high-volume routing locked challenger
7173263T00000,15.0,12.070141613432352,10.913216162029885,72.75477441353256,Developing high-volume routing locked challenger
7174050U10CUG,1.0,26.431027346008705,25.431027346008705,2543.1027346008705,Developing high-volume routing locked challenger
7174063T00EJ1,10.0,11.9329659488622,6.28589106527734,62.858910652773396,Developing high-volume routing locked challenger
71750M55T30C48,56.0,16.645238311824365,39.354761688175635,70.2763601574565,Developing high-volume routing locked challenger
71761M55T105PK,70.0,16.483446764131948,54.65978416042154,78.08540594345935,Developing high-volume routing locked challenger
7361052R005PK,1.0,33.566476829212256,32.566476829212256,3256.6476829212256,Developing high-volume routing locked challenger
77141M55T000CB,15.0,11.65314339682137,3.5514643452893493,23.676428968595662,Developing high-volume routing locked challenger
77221M55T00799,46.0,30.23442841231616,20.746011409239294,45.10002480269412,Developing high-volume routing locked challenger
81810M55T01000,44.0,28.558316479683775,15.786356456347342,35.87808285533487,Developing high-volume routing locked challenger
82110M55T10000,41.0,16.586958009377998,24.413041990622002,59.54400485517561,Developing high-volume routing locked challenger
8313063JC0C48,4.0,11.506424404563326,11.910961442726288,297.7740360681572,Developing high-volume routing locked challenger
83940M55T010PG,105.0,28.119411798808635,79.25120536307551,75.4773384410243,Developing high-volume routing locked challenger
83970M55T00000,14.0,11.433082798917168,9.52622986562351,68.04449904016793,Developing high-volume routing locked challenger
8470178R005PK,0.0,11.014199751524522,11.014199751524522,,Developing high-volume routing locked challenger
84701M55TG0ZHJ,39.0,13.89339169844662,25.10660830155338,64.37591872193174,Developing high-volume routing locked challenger
84730M55T00000,25.0,30.84861504351466,17.096543825092013,68.38617530036805,Developing high-volume routing locked challenger
84730M76T00000,3.0,12.90734853669808,9.90734853669808,330.2449512232693,Developing high-volume routing locked challenger
84740M76T00000,7.0,13.035004153296624,10.268050660322292,146.68643800460418,Developing high-volume routing locked challenger
