segment,source_notebook,source_file,decision
recurring,recurring_scorecard,results/lumpy_02_forecasting/stages/recurring_scorecard/recurring_scorecard_official_abc_forecasts.csv,six-block recurring A/B/C champion
occasional,occasional_memory,results/lumpy_02_forecasting/stages/occasional_memory/occasional_memory_temporal_memory_forecasts.csv,temporal-memory champion
rare,rare_group_occurrence,results/lumpy_02_forecasting/stages/rare_group_occurrence/rare_group_occurrence_official_rare_forecasts.csv,group-occurrence champion
cold_start,cold_start,results/lumpy_02_forecasting/stages/cold_start/cold_start_official_cold_start_forecasts.csv,genuine-launch champion
new,new_sku_calibration,results/lumpy_02_forecasting/stages/new_sku_calibration/new_sku_calibration_official_new_sku_forecasts.csv,calibrated short-history blend
developing,developing_routing,results/lumpy_02_forecasting/stages/developing_routing/developing_routing_official_developing_forecasts.csv,routed hurdle-analogue champion
dormant,chronology_strategy,results/lumpy_02_forecasting/stages/chronology_strategy/chronology_strategy_final_all_690_holdout_forecasts_with_ranges.csv,governance baseline; manual review exclusion
