segment,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,portfolio_wmape,actual_total,forecast_total,bias_pct,pct_below_50,pct_below_70,pct_below_100,scorecard
all,690,642,55,171,361,90.32900432900433,102.52030164372792,9111.0,7200.537497363104,-20.968746599022015,8.566978193146417,26.635514018691588,56.230529595015575,Chronology-safe baseline all 690
all,690,642,60,199,376,86.45587400517059,91.34643748145841,9111.0,6196.05813271462,-31.99365456355373,9.345794392523365,30.996884735202492,58.56697819314642,Champion all 690
all,637,597,54,169,357,85.53571428571429,98.16143453641679,8923.0,6653.025014284651,-25.43959414675949,9.045226130653266,28.30820770519263,59.79899497487437,Chronology-safe baseline excluding dormant
all,637,597,59,197,372,82.64144529680698,86.75214658590264,8923.0,5648.545649636166,-36.69678751948711,9.882747068676716,32.99832495812395,62.311557788944725,Champion excluding dormant
