candidate_id,positive_skus,under_50,under_70,under_100,median_wmape,portfolio_wmape,actual_total,forecast_total,strategy,pct_below_50,pct_below_70,pct_below_100
Notebook 12 incumbent,40,4,8,12,117.82805039262007,137.11087660881776,775.0,1124.3171231544347,Notebook 12 incumbent,10.0,20.0,30.0
Notebook 32 locked challenger,40,0,3,23,92.6549671592775,93.35001876974513,775.0,302.4565791652718,Notebook 32 locked challenger,0.0,7.5,57.5
