sku_id,recommended_model_key,recommended_model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,recommended_horizon_wmape_percent,recommended_mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,feature_count,fit_status,wmape_valid,recommended_selection_score,recommended_selection_metric,recommended_bias_percent,recommended_wmape_band,recommendation_quality
72432M74T00000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,122,205.0,95.0125211350585,164.35315818358774,-109.9874788649415,80.17227228467694,82.50058229620969,77.68862347822855,120,88,122,13,779,fallback_hist_poisson_xgboost_missing,True,82.50058229620969,mean_rolling_3m_wmape_percent,-53.652428714605605,70_to_100,under_100
57300M74T00000,direct_extra_trees_log1p,Direct Extra Trees log1p,7,69,99.0,69.08171617994552,84.24198610556044,-29.918283820054477,85.09291525814186,82.54326671667057,80.88544813783909,65,42,69,22,779,fit,True,82.54326671667057,mean_rolling_3m_wmape_percent,-30.22048870712573,70_to_100,under_100
3845071L10000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,217.0,244.1135304876181,173.3520835072653,27.11353048761811,79.88575276832502,82.71856835365502,69.41515831693148,151,120,162,136,779,fit,True,82.71856835365502,mean_rolling_3m_wmape_percent,12.494714510423092,70_to_100,under_100
74461M76M00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,283.0,202.78720554805824,219.77448616208636,-80.21279445194178,77.65882903253934,82.76145342013703,72.99795296350246,152,113,162,152,779,fit,True,82.76145342013703,mean_rolling_3m_wmape_percent,-28.343743622594268,70_to_100,under_100
81810M55T01000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,144,219.0,117.37716548131496,175.30076348704458,-101.62283451868504,80.04601072467788,82.88403162782335,76.90479823589996,142,99,144,15,779,fallback_hist_poisson_xgboost_missing,True,82.88403162782335,mean_rolling_3m_wmape_percent,-46.40312078478769,70_to_100,under_100
72381M80T10000,direct_hist_squared,Direct Hist Gradient Squared,7,69,102.0,50.222706583975864,82.24315850232392,-51.77729341602413,80.63054755129797,83.08450547417033,80.97700870881384,68,48,64,10,779,fit,True,83.08450547417033,mean_rolling_3m_wmape_percent,-50.76205236865111,70_to_100,under_100
71761M55T105PK,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,160,335.0,139.15688941737028,280.89385267109947,-195.84311058262978,83.84891124510432,83.50909990532094,79.10639668125819,150,119,160,47,779,fallback_hist_poisson_xgboost_missing,True,83.50909990532094,mean_rolling_3m_wmape_percent,-58.460630024665605,70_to_100,under_100
84901M62S51BHE,direct_hist_squared,Direct Hist Gradient Squared,9,162,207.0,157.8033394922727,160.74208117520635,-49.19666050772727,77.65317931169389,83.89607953552151,70.58287861224923,144,109,162,89,779,fit,True,83.89607953552151,mean_rolling_3m_wmape_percent,-23.766502660737814,70_to_100,under_100
38452M65L00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,226.0,200.60979561479712,155.11206306330382,-25.39020438520286,68.63365622270081,84.0774164033912,71.54060394391644,160,119,162,139,779,fit,True,84.0774164033912,mean_rolling_3m_wmape_percent,-11.234603710266752,70_to_100,under_100
6800153R00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,219.0,201.9975677223627,152.78551443062992,-17.002432277637265,69.76507508247941,84.18373845097565,69.42653022100549,159,116,162,137,779,fit,True,84.18373845097565,mean_rolling_3m_wmape_percent,-7.763667706683683,70_to_100,under_100
