fold_id,month,actual,forecast,absolute_error,rolling_3m_abs_error,rolling_3m_actual,rolling_3m_wmape_percent
1,2024-11-01,450.0,316.78895301400524,133.21104698599476,133.21104698599476,450.0,29.602454885776613
1,2024-12-01,352.0,320.28133951135146,31.71866048864854,164.9297074746433,802.0,20.564801430753526
1,2025-01-01,495.0,475.08376334017515,19.916236659824847,184.84594413446814,1297.0,14.251807566265857
1,2025-02-01,330.0,456.93615756338596,126.93615756338596,178.57105471185935,1177.0,15.171712379937073
1,2025-03-01,558.0,463.4694700847763,94.53052991522372,241.38292413843453,1383.0,17.453573690414643
1,2025-04-01,491.0,454.36384820287805,36.636151797121954,258.10283927573164,1379.0,18.7166670975875
1,2025-05-01,618.0,459.9805200674353,158.0194799325647,289.1861616449104,1667.0,17.347700158662892
1,2025-06-01,433.0,456.6093705028565,23.609370502856507,218.26500223254317,1542.0,14.154669405482695
1,2025-07-01,571.0,466.63051319071195,104.36948680928805,285.99833724470926,1622.0,17.632449891782322
1,2025-08-01,366.0,466.0637564739401,100.06375647394009,228.04261378608464,1370.0,16.645446261758003
1,2025-09-01,397.0,465.2396733457887,68.23967334578867,272.6729166290168,1334.0,20.44024862286483
1,2025-10-01,694.0,470.7565265805304,223.24347341946958,391.54690323919834,1457.0,26.873500565490623
1,2025-11-01,672.0,461.0143904512843,210.98560954871567,502.4687563139739,1763.0,28.50078027872796
1,2025-12-01,514.0,478.13523758781565,35.86476241218435,470.0938453803696,1880.0,25.004991775551574
1,2026-01-01,572.0,546.7999964200086,25.200003579991403,272.0503755408914,1758.0,15.474992920414758
1,2026-02-01,476.0,544.611315164127,68.61131516412695,129.6760811563027,1562.0,8.301925810262656
1,2026-03-01,441.0,555.4184271836936,114.41842718369355,208.2297459278119,1489.0,13.984536328261376
1,2026-04-01,681.0,559.9407520659016,121.05924793409838,304.0889902819189,1598.0,19.02934857834286
2,2024-08-01,607.0,320.66735597776346,286.33264402223654,286.33264402223654,607.0,47.171770020137814
2,2024-09-01,333.0,321.24485787811125,11.755142121888753,298.0877861441253,940.0,31.711466611077157
2,2024-10-01,476.0,317.6879731641751,158.3120268358249,456.3998129799502,1416.0,32.23162521044846
2,2024-11-01,450.0,317.656254555776,132.343745444224,302.41091440193765,1259.0,24.019929658613
2,2024-12-01,352.0,319.4304954308989,32.56950456910113,323.22527684915,1278.0,25.291492711201098
2,2025-01-01,495.0,482.91110723571575,12.088892764284253,177.00214277760938,1297.0,13.647042619707738
2,2025-02-01,330.0,468.11444684563105,138.11444684563105,182.77284417901643,1177.0,15.528703838489076
2,2025-03-01,558.0,469.23782894077186,88.76217105922814,238.96551066914344,1383.0,17.278778790248982
2,2025-04-01,491.0,457.2551328780113,33.744867121988705,260.6214850268479,1379.0,18.89931000919854
2,2025-05-01,618.0,460.2537645269384,157.74623547306157,280.2532736542784,1667.0,16.811834052446216
2,2025-06-01,433.0,464.61350931636,31.613509316360023,223.1046119114103,1542.0,14.468522173243212
2,2025-07-01,571.0,459.7201904755273,111.27980952447268,300.6395543138943,1622.0,18.535114322681522
2,2025-08-01,366.0,459.46983772116744,93.46983772116744,236.36315656200014,1370.0,17.25278515051096
2,2025-09-01,397.0,453.7350597643666,56.73505976436661,261.48470701000673,1334.0,19.60155224962569
2,2025-10-01,694.0,443.7023916935319,250.29760830646808,400.5025057920021,1457.0,27.488161001510097
2,2025-11-01,672.0,442.1828020524358,229.81719794756418,536.8498660183989,1763.0,30.45092830507084
2,2025-12-01,514.0,443.0542600697467,70.9457399302533,551.0605461842856,1880.0,29.311731180015194
2,2026-01-01,572.0,489.1987870724064,82.80121292759361,383.5641508054111,1758.0,21.818211081081405
3,2024-05-01,671.0,357.58381560799995,313.41618439200005,313.41618439200005,671.0,46.70882032667661
3,2024-06-01,451.0,362.27022351760866,88.72977648239134,402.1459608743914,1122.0,35.84188599593506
3,2024-07-01,587.0,355.0829731566009,231.91702684339913,634.0629877177905,1709.0,37.101403611339414
3,2024-08-01,607.0,358.6708604024864,248.32913959751357,568.975942923304,1645.0,34.58820321722213
3,2024-09-01,333.0,360.21385690600994,27.213856906009937,507.46002334692264,1527.0,33.23248351977227
3,2024-10-01,476.0,356.04817829781865,119.95182170218135,395.49481820570486,1416.0,27.93042501452718
3,2024-11-01,450.0,356.25411590173803,93.74588409826197,240.91156270645325,1259.0,19.135151922673014
3,2024-12-01,352.0,358.66321932947915,6.663219329479148,220.36092512992246,1278.0,17.242638899054967
3,2025-01-01,495.0,520.9213153765787,25.92131537657872,126.33041880431983,1297.0,9.740201912437922
3,2025-02-01,330.0,504.6810680525716,174.68106805257162,207.26560275862948,1177.0,17.609651891132494
3,2025-03-01,558.0,516.1234048890808,41.8765951109192,242.47897854006953,1383.0,17.532825635579865
3,2025-04-01,491.0,500.32355123758583,9.323551237585832,225.88121440107665,1379.0,16.3800735606292
3,2025-05-01,618.0,509.5633310482113,108.4366689517887,159.63681530029373,1667.0,9.576293659285767
3,2025-06-01,433.0,515.1880531008284,82.18805310082837,199.9482732902029,1542.0,12.966814091452848
3,2025-07-01,571.0,503.1842049683246,67.8157950316754,258.4405170842925,1622.0,15.933447415801016
3,2025-08-01,366.0,512.1367947629847,146.13679476298466,296.14064289548844,1370.0,21.616105320838574
3,2025-09-01,397.0,501.0757817225274,104.07578172252738,318.02837151718745,1334.0,23.840207759909102
3,2025-10-01,694.0,490.42792831894434,203.57207168105566,453.7846481665677,1457.0,31.14513714252352
4,2024-02-01,464.0,579.4105640903255,115.41056409032547,115.41056409032547,464.0,24.872966398777038
4,2024-03-01,504.0,568.2527570799632,64.2527570799632,179.66332117028867,968.0,18.5602604514761
4,2024-04-01,402.0,562.9236662867263,160.9236662867263,340.58698745701497,1370.0,24.860364047957297
4,2024-05-01,671.0,552.808838458966,118.19116154103403,343.36758490772354,1577.0,21.773467654262745
4,2024-06-01,451.0,539.2832308793761,88.2832308793761,367.39805870713644,1524.0,24.10748416713494
4,2024-07-01,587.0,536.579387410291,50.42061258970898,256.8950050101191,1709.0,15.031890287309487
4,2024-08-01,607.0,538.2402471766953,68.75975282330467,207.46359629238975,1645.0,12.611768771573844
4,2024-09-01,333.0,527.9731864287628,194.9731864287628,314.15355184177645,1527.0,20.573251594091452
4,2024-10-01,476.0,525.1806832015069,49.180683201506895,312.91362245357436,1416.0,22.09841966480045
4,2024-11-01,450.0,528.6950813692886,78.69508136928857,322.84895099955827,1259.0,25.64328443205387
4,2024-12-01,352.0,519.7599368767923,167.75993687679227,295.63570144758773,1278.0,23.132683994333938
4,2025-01-01,495.0,687.5912432176481,192.59124321764807,439.0462614637289,1297.0,33.850906820642166
4,2025-02-01,330.0,659.3122324739528,329.3122324739528,689.6634125683931,1177.0,58.59502230827469
4,2025-03-01,558.0,662.7741725074033,104.77417250740325,626.6776481990041,1383.0,45.312917440275065
4,2025-04-01,491.0,653.073830809657,162.073830809657,596.1602357910131,1379.0,43.23134414728158
4,2025-05-01,618.0,644.3680633686952,26.368063368695175,293.21606668575544,1667.0,17.589446111922943
4,2025-06-01,433.0,649.0493162368723,216.0493162368723,404.4912104152245,1542.0,26.231596006175387
4,2025-07-01,571.0,639.5514049114033,68.55140491140332,310.9687845169708,1622.0,19.171934927063553
5,2023-11-01,465.0,441.05225698187326,23.947743018126744,23.947743018126744,465.0,5.150052261962741
5,2023-12-01,613.0,435.49064053365396,177.50935946634604,201.45710248447278,1078.0,18.688042902084675
5,2024-01-01,479.0,627.1882772015164,148.18827720151637,349.64537968598916,1557.0,22.456350654206112
5,2024-02-01,464.0,604.493284326749,140.49328432674895,466.19092099461136,1556.0,29.960856105052144
5,2024-03-01,504.0,598.3804361848134,94.38043618481345,383.06199771307877,1447.0,26.472840201318505
5,2024-04-01,402.0,595.8422113292052,193.84221132920516,428.71593184076755,1370.0,31.293133711004934
5,2024-05-01,671.0,588.2408627015805,82.75913729841955,370.98178481243815,1577.0,23.52452662095359
5,2024-06-01,451.0,579.2914480233808,128.29144802338078,404.8927966510055,1524.0,26.567768809121095
5,2024-07-01,587.0,584.2731288075934,2.726871192406634,213.77745651420696,1709.0,12.508920802469689
5,2024-08-01,607.0,580.9472754521543,26.05272454784574,157.07104376363316,1645.0,9.54839171815399
5,2024-09-01,333.0,581.4220595554381,248.42205955543807,277.20165529569044,1527.0,18.153350052108085
5,2024-10-01,476.0,581.5442018856899,105.54420188568986,380.01898598897367,1416.0,26.837499010520737
5,2024-11-01,450.0,576.4864365007105,126.48643650071051,480.45269794183844,1259.0,38.16145337107533
