sku_id,recommended_model_key,recommended_model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,recommended_horizon_wmape_percent,recommended_mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,feature_count,fit_status,wmape_valid,recommended_selection_score,recommended_selection_metric,recommended_bias_percent,recommended_wmape_band,recommendation_quality
68002M79G01000,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,9,162,25.0,20.338427055615675,42.9062323051769,-4.661572944384327,171.6249292207076,103.41875753285564,103.14419658198437,41,19,162,0,779,fallback_hist_probability_times_positive_amount_xgboost_missing,True,103.41875753285564,mean_rolling_3m_wmape_percent,-18.646291777537307,100_to_200,under_200
84702M80TA05PK,direct_xgboost_tweedie,Direct XGBoost Tweedie,8,87,31.0,57.36881735281748,60.837178434834215,26.36881735281748,196.2489626930136,103.55833714850588,100.02207747197028,43,21,87,1,779,fallback_hist_poisson_xgboost_missing,True,103.55833714850588,mean_rolling_3m_wmape_percent,85.0607011381209,100_to_200,under_200
84702M80TJ0WB3,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,8,99,90.0,69.13749632882882,91.34063415273674,-20.862503671171186,101.48959350304084,103.56341623047133,94.51137409475196,88,48,99,3,779,fallback_hist_probability_times_positive_amount_xgboost_missing,True,103.56341623047133,mean_rolling_3m_wmape_percent,-23.18055963463465,100_to_200,under_200
35910M74L01000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,171.0,205.37184924637498,181.43690046162902,34.371849246374985,106.10345056235614,103.63572557470285,78.90297617875397,136,94,162,109,779,fit,True,103.63572557470285,mean_rolling_3m_wmape_percent,20.10049663530701,100_to_200,under_200
3495561M00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,136,66.0,146.87963683655315,190.65355480068467,80.87963683655317,288.8690224252798,103.6622348770128,92.75354255443361,24,11,136,81,779,fit,True,103.6622348770128,mean_rolling_3m_wmape_percent,122.54490429780783,100_to_200,under_200
8381173R00000,direct_tweedie_glm,Direct Tweedie GLM,9,162,43.0,53.319350594882586,78.07362431656341,10.319350594882582,181.56656817805444,103.80280139292334,99.05844806317258,55,29,162,0,779,fit,True,103.80280139292334,mean_rolling_3m_wmape_percent,23.99848975554089,100_to_200,under_200
4321057M100BK,direct_tweedie_glm,Direct Tweedie GLM,9,162,44.0,22.711687804689735,64.05815854501151,-21.288312195310272,145.58672396593525,103.94889312053397,101.55994647595172,30,14,162,0,779,fit,True,103.94889312053397,mean_rolling_3m_wmape_percent,-48.382527716614256,100_to_200,under_200
77141M55T000CB,direct_random_forest_log1p,Direct Random Forest log1p,9,159,155.0,144.8891795958442,137.92030100390292,-10.110820404155799,88.98083935735671,103.97288758534965,90.96781855952692,155,93,159,70,779,fit,True,103.97288758534965,mean_rolling_3m_wmape_percent,-6.523109938165032,100_to_200,under_200
17931M71P00000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,172.0,226.73443483373964,149.2228834971147,54.73443483373961,86.75749040529925,104.00267682995874,71.80242280308237,147,105,162,144,779,fit,True,104.00267682995874,mean_rolling_3m_wmape_percent,31.822345833569543,100_to_200,under_200
0915912079000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,113.0,62.946997197557835,168.71328545497022,-50.05300280244216,149.30379243802673,104.02176823931849,102.58671816879769,26,9,162,0,779,fit,True,104.02176823931849,mean_rolling_3m_wmape_percent,-44.29469274552404,100_to_200,under_200
