sku_id,model_key,model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,horizon_wmape_percent,mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,feature_count,fit_status,wmape_valid,selection_score,selection_metric,bias_percent,wmape_band
01550M0612A,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,22.0,59.115939707488415,75.47420552476174,37.11593970748842,343.0645705670988,127.72565434501716,128.9311985101475,25,9,162,0,779,fit,True,127.72565434501716,mean_rolling_3m_wmape_percent,168.7088168522201,100_to_200
01550M0612A,direct_random_forest_log1p,Direct Random Forest log1p,9,162,22.0,73.78308716553487,88.58320126923996,51.783087165534866,402.6509148601817,135.23562096536975,134.61165246711454,25,9,162,0,779,fit,True,135.23562096536975,mean_rolling_3m_wmape_percent,235.37766893424939,100_to_200
01550M0612A,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,22.0,82.05782761591955,97.05444958596372,60.05782761591955,441.1565890271078,136.67055289915552,125.86077812384579,25,9,162,20,779,fallback_hist_poisson_xgboost_missing,True,136.67055289915552,mean_rolling_3m_wmape_percent,272.99012552690704,100_to_200
01550M0612A,direct_hist_poisson,Direct Hist Gradient Poisson,9,162,22.0,94.91078294436971,109.22271486674906,72.91078294436973,496.4668857579503,154.5213257967896,132.32344387411186,25,9,162,24,779,fit,True,154.5213257967896,mean_rolling_3m_wmape_percent,331.41264974713516,100_to_200
01550M0612A,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,9,162,22.0,195.80388584294718,202.06439259441095,173.8038858429472,918.4745117927771,239.68888498432986,183.75306928840283,25,9,162,84,779,fallback_hist_probability_times_positive_amount_xgboost_missing,True,239.68888498432986,mean_rolling_3m_wmape_percent,790.0176629224873,over_200
01550M0612A,direct_hist_squared,Direct Hist Gradient Squared,9,162,22.0,293.8590844139894,299.6265980439871,271.8590844139894,1361.9390820181231,290.5546733465625,161.33349904874984,25,9,162,97,779,fit,True,290.5546733465625,mean_rolling_3m_wmape_percent,1235.723110972679,over_200
01550M0612A,direct_tweedie_glm,Direct Tweedie GLM,9,162,22.0,242.56953706165797,249.02719469554617,220.56953706165797,1131.9417940706644,303.7902988569826,181.03314924525824,25,9,162,108,779,fit,True,303.7902988569826,mean_rolling_3m_wmape_percent,1002.5888048257181,over_200
01550M0612A,hurdle_random_forest,Hurdle Random Forest Regression,9,162,22.0,324.8407493611968,328.5556834079118,302.8407493611968,1493.4349245814171,403.764632528075,321.8446104255847,25,9,162,145,779,fit_probability_times_positive_amount,True,403.764632528075,mean_rolling_3m_wmape_percent,1376.5488607327127,over_200
01550M0612A,direct_random_forest,Direct Random Forest,9,162,22.0,371.3187845401618,373.64002328360425,349.3187845401618,1698.3637421982012,477.3226441466501,512.361010973106,25,9,162,146,779,fit,True,477.3226441466501,mean_rolling_3m_wmape_percent,1587.8126570007355,over_200
021620616A000,direct_xgboost_tweedie,Direct XGBoost Tweedie,9,162,83.0,35.709760356473545,111.50761561461073,-47.290239643526455,134.3465248368804,107.81755594110156,103.75949153688353,46,17,162,0,779,fallback_hist_poisson_xgboost_missing,True,107.81755594110156,mean_rolling_3m_wmape_percent,-56.97619234159814,100_to_200
021620616A000,direct_extra_trees_log1p,Direct Extra Trees log1p,9,162,83.0,47.00809794635512,119.8037133237559,-35.99190205364488,144.3418232816336,109.48500862986661,105.02634786330151,46,17,162,0,779,fit,True,109.48500862986661,mean_rolling_3m_wmape_percent,-43.36373741402998,100_to_200
021620616A000,direct_hist_poisson,Direct Hist Gradient Poisson,9,162,83.0,39.38908312763489,113.70516507889509,-43.61091687236511,136.9941747938495,109.606606335281,103.51877367475004,46,17,162,0,779,fit,True,109.606606335281,mean_rolling_3m_wmape_percent,-52.54327334019892,100_to_200
