fold_id,months,actual_total,forecast_total,absolute_error,mean_rolling_3m_wmape_percent,horizon_wmape_percent
1,18,9111.0,8418.124010750666,1696.6333897169177,18.84175598046321,18.62181307997934
2,18,8929.0,7590.136055599335,1978.729651695715,23.417719943628168,22.160708384989526
3,18,8880.0,7938.41267659738,2093.994604379752,23.7845428275995,23.581020319591804
4,18,8793.0,10574.827842784325,2256.5708966924212,26.51383384585592,25.663265059620393
5,18,8728.0,10834.309648234857,2732.3013192811472,30.936487003083666,31.305010532552103
6,18,9103.0,10358.079668038758,2573.612658119766,27.604743487451255,28.2721372967128
7,18,9875.0,3115588.753780092,3106973.613418097,25523.561049174845,31463.023933347817
8,18,10785.0,1.9103405479333214e+76,1.9103405479333214e+76,6.210066146327681e+73,1.7712939711945492e+74
9,18,11424.0,13525.38567686196,3009.9664769516144,26.99994407807798,26.34774577163528
