sku_id,lumpy_06_model_key,lumpy_06_model,lumpy_06_mean_rolling_3m_wmape_percent,lumpy_06_horizon_wmape_percent,lumpy_06_actual_total,lumpy_07_model_key,lumpy_07_model,lumpy_07_mean_rolling_3m_wmape_percent,lumpy_07_horizon_wmape_percent,lumpy_07_actual_total,rolling_wmape_delta_07_minus_06,regression_improved,regression_improved_by_10pts,regression_worse_by_10pts
77220M74T005PK,tsb,TSB,93.08056333177316,92.32739830508474,236.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,80.4302000067081,82.72637597420034,236.0,-12.650363325065058,True,True,False
68002M75T00000,aggregate_allocation,Aggregate Allocation,100.0,100.0,30.0,direct_hist_squared,Direct Hist Gradient Squared,87.50521852437406,89.54288835749458,30.0,-12.494781475625942,True,True,False
0932010024000,recent_mean_6,Recent Mean 6m,129.41683919944788,172.72727272727272,176.0,direct_extra_trees_log1p,Direct Extra Trees log1p,116.97584162359696,146.16302322655383,176.0,-12.440997575850915,True,True,False
4342386G01000,sba_croston,SBA Croston,121.69045672081069,96.70949417525082,347.0,direct_extra_trees_log1p,Direct Extra Trees log1p,109.6078630334949,94.13695171613874,347.0,-12.082593687315793,True,True,False
71751M76T005PK,aggregate_allocation,Aggregate Allocation,99.87677461751716,96.74424283440877,168.0,direct_random_forest_log1p,Direct Random Forest log1p,88.26395804099867,72.72058800593545,168.0,-11.612816576518483,True,True,False
09409M06L05000,recent_mean_6,Recent Mean 6m,123.21428571428572,300.48661800486616,137.0,direct_extra_trees_log1p,Direct Extra Trees log1p,112.35656551394315,161.3148011170234,137.0,-10.85772020034257,True,True,False
72320M80T00000,aggregate_allocation,Aggregate Allocation,100.0,100.0,72.0,direct_hist_squared,Direct Hist Gradient Squared,90.32997557184127,79.00367699815487,72.0,-9.670024428158726,True,False,False
84503M80T20000,aggregate_allocation,Aggregate Allocation,100.0,100.0,54.0,hurdle_xgboost_tweedie,Hurdle XGBoost Tweedie,90.33010543485493,101.97749032841722,54.0,-9.669894565145071,True,False,False
75110M76T60R3F,boosted_sba_hybrid,Boosted SBA Hybrid,91.71958347738,126.57993142598298,52.0,direct_xgboost_tweedie,Direct XGBoost Tweedie,82.2102117580552,197.41008652754104,52.0,-9.509371719324804,True,False,False
0940909309000,tsb,TSB,135.80999980377433,269.2012548245005,39.0,direct_extra_trees_log1p,Direct Extra Trees log1p,126.79654700704246,236.32393897650357,39.0,-9.013452796731869,True,False,False
