cohort,all_sku_count,valid_positive_sku_count,under_50_skus,under_70_skus,under_100_skus,under_50_share,under_70_share,under_100_share,median_sku_block_wmape,p75_sku_block_wmape,median_sku_block_mase,portfolio_block_wmape,actual_total,forecast_total,bias_pct
recurring_a,215,213,36,111,178,0.16901408450704225,0.5211267605633803,0.8356807511737089,68.570867744652,82.60614701679775,0.34380240616975005,76.72720992806401,4299.0,2707.362456679344,-37.02343669040837
recurring_b,110,110,10,31,84,0.09090909090909091,0.2818181818181818,0.7636363636363637,79.57237662233379,97.70288952759334,0.33877025941417394,83.62361361961794,1023.0,505.5685964524746,-50.57980484335537
combined,325,323,46,142,262,0.14241486068111456,0.43962848297213625,0.8111455108359134,72.24598079919815,91.12951870147998,0.3429009948546688,78.05284333213386,5322.0,3212.9310531318188,-39.62925492048443
