cohort,decision,incumbent_under_70,challenger_under_70,incumbent_under_50,challenger_under_50,incumbent_median,challenger_median
recurring_a,retain_14,111,111,36,35,68.570867744652,69.11195297020363
recurring_b,retain_14,40,36,14,13,78.25474802185508,79.429499363011
