sku_id,tournament_cohort,optimization_segment
82814M75J00000,recurring_b,recurring_b__other
82960M60G005ES,recurring_a,recurring_a__multi__volatile
82960M60G00P4Z,recurring_a,recurring_a__multi__stable
8298265D00P4Z,recurring_a,recurring_a__multi__stable
82982M65D00000,recurring_a,recurring_a__multi__volatile
82982M65D005PK,recurring_a,recurring_a__multi__stable
83402M79G50000,recurring_a,recurring_a__multi__stable
8366152R01000,recurring_b,recurring_b__other
83661M68P01000,recurring_a,recurring_a__multi__stable
83665M68P01000,recurring_b,recurring_b__multi__stable
8381152R02000,recurring_b,recurring_b__other
8381165J00000,recurring_b,recurring_b__single__stable
8381180J00000,recurring_b,recurring_b__single__stable
83811M68P00000,recurring_a,recurring_a__multi__stable
83811M79G11000,recurring_a,recurring_a__multi__stable
8382165J00000,recurring_b,recurring_b__single__stable
83821M74L01000,recurring_a,recurring_a__other
83821M79G11000,recurring_a,recurring_a__multi__stable
8383165J00000,recurring_b,recurring_b__multi__stable
83831M79G00000,recurring_a,recurring_a__multi__stable
8384165J00000,recurring_b,recurring_b__single__stable
83841M79G01000,recurring_a,recurring_a__multi__stable
8392165J010CB,recurring_a,recurring_a__multi__stable
8392471L200CE,recurring_b,recurring_b__single__stable
8394068L50000,recurring_a,recurring_a__multi__stable
84501M56R00000,recurring_a,recurring_a__multi__stable
8450373R00000,recurring_b,recurring_b__single__stable
84503M62S00000,recurring_a,recurring_a__multi__stable
84504M68P00000,recurring_a,recurring_a__multi__volatile
8451061M02000,recurring_a,recurring_a__multi__stable
84511M53M00000,recurring_a,recurring_a__multi__stable
8454154P01000,recurring_a,recurring_a__other
84541M56R00000,recurring_a,recurring_a__other
84570M62S10000,recurring_a,recurring_a__multi__stable
84570M67P10000,recurring_b,recurring_b__multi__stable
8458065J02000,recurring_a,recurring_a__multi__stable
84611M76M00000,recurring_a,recurring_a__multi__stable
8470161LVBZJ3,recurring_a,recurring_a__multi__stable
8470181A015PK,recurring_b,recurring_b__multi__stable
84701M56R50ZHJ,recurring_a,recurring_a__multi__stable
84701M68K1026U,recurring_a,recurring_a__multi__stable
84701M79G30000,recurring_a,recurring_a__multi__volatile
84701M84330000,recurring_a,recurring_a__multi__volatile
84702M67P30000,recurring_a,recurring_a__multi__volatile
84702M67P4026U,recurring_a,recurring_a__multi__stable
84702M68K1026U,recurring_a,recurring_a__multi__stable
84702M74L215PK,recurring_a,recurring_a__multi__stable
84702M84320000,recurring_a,recurring_a__multi__volatile
84730M56R00000,recurring_a,recurring_a__multi__stable
84730M67P00000,recurring_a,recurring_a__multi__stable
84730M74L20000,recurring_a,recurring_a__multi__volatile
84740M74L20000,recurring_a,recurring_a__other
8485177K006GS,recurring_a,recurring_a__multi__stable
84901M62S51BHE,recurring_a,recurring_a__multi__stable
84902M62S43BHE,recurring_a,recurring_a__multi__stable
85355M68PA1000,recurring_a,recurring_a__multi__volatile
87286M81P00000,recurring_b,recurring_b__single__stable
87491M68P105PK,recurring_a,recurring_a__multi__volatile
87991M68P105PK,recurring_a,recurring_a__multi__volatile
88921M68P01000,recurring_a,recurring_a__multi__volatile
8926050J00000,recurring_b,recurring_b__multi__stable
89969M52R00000,recurring_a,recurring_a__multi__stable
89969M63J00000,recurring_a,recurring_a__multi__volatile
9531071L01000,recurring_a,recurring_a__multi__stable
95310M68K00000,recurring_a,recurring_a__multi__stable
