cohort,actual_positive_blocks,forecast_positive_blocks,true_positive_blocks,event_recall,event_precision,false_positive_blocks
rare_a,18,44,8,0.4444444444444444,0.18181818181818182,36
rare_b,4,0,0,0.0,,0
rare_c,30,23,5,0.16666666666666666,0.21739130434782608,18
all_rare,52,67,13,0.25,0.19402985074626866,54
