segment,all_skus,positive_skus,under_50,under_70,under_100,median_wmape,portfolio_wmape,actual_total,forecast_total,bias_pct,pct_below_50,pct_below_70,pct_below_100,scorecard
all,690,642,64,208,376,86.91087239685379,90.20018513045135,9111.0,6438.968035393665,-29.327537752237244,9.968847352024921,32.398753894081,58.56697819314642,full_690_governance
all,637,597,63,206,372,82.78637071394476,85.58174367544368,8923.0,5891.455552315211,-33.97449790075971,10.552763819095478,34.505862646566165,62.311557788944725,actionable_637
