cohort,config_id,validation_under_70,validation_under_50,validation_median_wmape,overfit_flag,accepted,under_70,under_50,median_wmape,memory_agent,peer_agent,shift_agent,concentration_agent,retention_agent
recurring_a,temp6.00__decay1.00__shrink2.0__peer0.35__top2__memory0.50,141,99,53.443494837283524,False,True,112,38,68.67550675384845,per-SKU exponentially weighted expert performance,nearest-neighbour loss borrowing controlled by peer weight,shortens memory after a detected demand-level change,"tests top-2, top-4, and all-expert portfolios",keeps Notebook 16 unless the final SKU ordering improves
recurring_b,temp1.00__decay0.50__shrink6.0__peer0.00__top2__memory1.00,54,34,67.4409353164445,False,False,39,13,80.94940316991992,per-SKU exponentially weighted expert performance,nearest-neighbour loss borrowing controlled by peer weight,shortens memory after a detected demand-level change,"tests top-2, top-4, and all-expert portfolios",keeps Notebook 16 unless the final SKU ordering improves
