sku_id,actual_total,forecast_total,absolute_error,mean_absolute_error,block_naive_scale,wmape,mase,cohort,top_expert,top_expert_weight,effective_experts
0915918022000,22.0,10.790708262299864,14.556649733386815,2.4261082888978023,5.555555555555555,66.16658969721279,0.4366994920016044,recurring_a,candidate_11,0.5032036719470958,1.9999178952591756
0928017002000,61.0,29.735289599755347,41.51574108797682,6.91929018132947,10.555555555555555,68.05859194750299,0.6555117013891076,recurring_a,candidate_12,0.5001297998736445,1.9999998652159514
0928056004000,30.0,16.302405128151577,25.024305883651763,4.170717647275294,11.666666666666666,83.41435294550588,0.35749008405216803,recurring_a,candidate_10,0.5260264084032072,1.9945956515840324
0928326016000,31.0,13.451598897348926,22.50473150469618,3.7507885841160302,5.444444444444445,72.59590807966511,0.6889203521845769,recurring_a,candidate_12,0.5193309636632791,1.9970149726044453
0928340021000,93.0,20.738873268865888,72.26112673113411,12.043521121855685,8.666666666666666,77.70013627003668,1.3896370525218098,recurring_a,candidate_08,0.5085029371842112,1.999421767698575
0928340027000,49.0,16.68564847864993,37.31071399544987,6.218452332574979,8.222222222222221,76.14431427642832,0.7562982566645245,recurring_a,candidate_12,0.5584164102085282,1.9730678061136024
0928345012000,34.0,12.17298348956605,24.09063612501174,4.01510602083529,5.555555555555555,70.85481213238748,0.7227190837503523,recurring_a,candidate_10,0.5038314673185325,1.999882565761301
0928906003000,580.0,69.817635053569,510.182364946431,85.0303941577385,31.555555555555557,87.9624767149019,2.694625166970586,recurring_a,candidate_08,0.5057583311658053,1.9997347681561095
0932010024000,44.0,14.710103282829257,39.07673375671375,6.512788959452291,4.888888888888889,88.8107585379858,1.3321613780697867,recurring_a,candidate_09,0.5012992117441296,1.999986496481925
09403M07311000,28.0,9.87579107424347,22.481487691529733,3.7469146152549553,3.5555555555555554,80.29102746974904,1.0538197355404562,recurring_a,candidate_04,0.514518525798404,1.9983151198764206
0940907332000,14.0,63.91130862862414,49.91130862862414,8.318551438104024,50.111111111111114,356.50934734731527,0.16600213512846165,recurring_a,synthetic_mean,0.5123276183196588,1.9987849772014201
0940908327000,81.0,49.73780433944231,49.841165344783214,8.306860890797202,33.0,61.53230289479409,0.2517230572968849,recurring_a,candidate_09,0.5058394068398558,1.9997272478240173
09409M07L025PK,1.0,58.21751557576635,57.21751557576635,9.536252595961058,44.55555555555556,5721.751557576635,0.21403060689189404,recurring_a,candidate_08,0.516195378191505,1.9979038769726118
09409M15L01000,176.0,60.92559431384893,136.11566319303958,22.685943865506598,56.333333333333336,77.33844499604521,0.4027090627013005,recurring_a,candidate_11,0.5034118853559302,1.9999068766427257
0947112236000,0.0,16.607144245149804,16.607144245149804,2.767857374191634,1.875,,1.4761905995688713,recurring_a,candidate_12,0.5605096489586436,1.971131458213127
09471M12182000,6.0,17.96872473022986,16.31040731782963,2.7184012196382716,5.666666666666667,271.84012196382713,0.47971786228910673,recurring_a,candidate_11,0.503185231654689,1.999918837688242
11610M65L00000,8.0,12.93344072905514,8.253133571747785,1.3755222619579641,4.333333333333333,103.16416964684731,0.31742821429799173,recurring_a,candidate_12,0.5070660849995503,1.999600643301046
11610M67P10000,13.0,12.38954455571494,9.149197260205101,1.5248662100341834,2.6666666666666665,70.37844046311616,0.5718248287628188,recurring_a,candidate_10,0.5014707715078314,1.99998269479911
11610M76M00000,13.0,8.990250411852188,5.697146779985839,0.9495244633309731,2.5555555555555554,43.82420599989106,0.37155305086864165,recurring_a,candidate_08,0.5024504347763001,1.9999519641090078
11610M79G50000,3.0,10.866115027682918,8.228056601042791,1.3713427668404652,5.0,274.268553368093,0.274268553368093,recurring_a,synthetic_mean,0.503342914780933,1.9999106033621974
11620M79F40000,4.0,11.160876819412128,7.5636971792624,1.2606161965437332,6.333333333333333,189.09242948156,0.1990446626121684,recurring_a,candidate_11,0.5011325236700306,1.9999897391737373
11710M65L00000,5.0,12.71857995524977,9.155956794161488,1.5259927990269146,3.3333333333333335,183.11913588322977,0.45779783970807436,recurring_a,candidate_07,0.5256988768298178,1.9947304625278721
